,off_pos,def_pos,time,period
54,1,0,09:45,1
53,0,1,09:35,1
52,1,0,09:15,1
51,1,0,09:10,1
50,0,1,09:04,1
49,1,0,08:45,1
48,0,1,08:17,1
47,1,0,08:10,1
46,1,0,08:05,1
45,0,1,07:59,1
44,1,0,07:50,1
43,0,1,07:45,1
42,1,0,07:37,1
41,1,0,07:35,1
40,0,1,07:23,1
39,1,0,07:18,1
38,1,0,06:57,1
37,1,0,06:37,1
36,0,1,06:32,1
35,0,1,06:22,1
34,1,0,06:14,1
33,1,0,06:09,1
32,1,0,06:08,1
31,1,0,05:52,1
30,1,0,05:38,1
29,0,1,05:34,1
28,1,0,05:23,1
27,0,1,05:14,1
26,1,0,05:03,1
25,0,1,04:57,1
24,1,0,04:52,1
23,0,1,04:34,1
22,1,0,04:23,1
21,1,0,04:22,1
20,1,0,04:13,1
19,0,1,04:00,1
18,1,0,03:50,1
17,1,0,03:42,1
16,1,0,03:36,1
15,0,1,03:17,1
14,1,0,03:06,1
13,0,1,02:57,1
12,1,0,02:34,1
11,0,1,02:11,1
10,1,0,02:08,1
9,0,1,01:49,1
8,1,0,01:41,1
7,0,1,01:15,1
6,1,0,01:07,1
5,1,0,00:54,1
4,0,1,00:46,1
3,1,0,00:37,1
2,0,1,00:18,1
1,1,0,00:03,1
0,1,0,00:02,1
100,0,1,09:55,2
99,1,0,09:23,2
98,0,1,09:15,2
97,1,0,08:59,2
96,0,1,08:44,2
95,1,0,08:28,2
94,0,1,08:13,2
93,1,0,08:02,2
92,0,1,07:45,2
91,1,0,07:37,2
90,1,0,07:19,2
89,0,1,07:05,2
88,1,0,06:48,2
87,0,1,06:32,2
86,1,0,06:02,2
85,1,0,05:59,2
84,1,0,05:57,2
83,0,1,05:50,2
82,1,0,05:44,2
81,0,1,05:26,2
80,0,1,05:22,2
79,1,0,05:11,2
78,1,0,05:09,2
77,0,1,04:55,2
76,1,0,04:40,2
75,0,1,04:22,2
74,1,0,04:15,2
73,0,1,04:03,2
72,1,0,03:57,2
71,1,0,03:37,2
70,0,1,03:34,2
69,1,0,03:11,2
68,0,1,02:53,2
67,1,0,02:44,2
66,0,1,02:36,2
65,1,0,02:27,2
64,0,1,02:17,2
63,1,0,02:02,2
62,0,1,01:50,2
61,1,0,01:34,2
60,0,1,01:17,2
59,1,0,01:12,2
58,0,1,00:58,2
57,1,0,00:47,2
56,0,1,00:28,2
55,1,0,00:04,2
148,1,0,09:51,3
147,0,1,09:18,3
146,1,0,09:12,3
145,1,0,09:07,3
144,0,1,08:46,3
143,1,0,08:40,3
142,1,0,08:37,3
141,0,1,08:11,3
140,1,0,08:02,3
139,0,1,07:52,3
138,1,0,07:29,3
137,1,0,07:25,3
136,1,0,07:23,3
135,1,0,07:02,3
134,1,0,06:56,3
133,1,0,06:53,3
132,0,1,06:43,3
131,1,0,06:32,3
130,1,0,06:16,3
129,1,0,06:07,3
128,0,1,05:59,3
127,1,0,05:30,3
126,1,0,05:28,3
125,0,1,05:08,3
124,1,0,04:51,3
123,1,0,04:19,3
122,1,0,04:11,3
121,0,1,03:53,3
120,1,0,03:39,3
119,0,1,03:12,3
118,1,0,03:00,3
117,1,0,02:45,3
116,1,0,02:37,3
115,1,0,02:34,3
114,0,1,02:09,3
113,1,0,02:00,3
112,0,1,01:57,3
111,1,0,01:43,3
110,1,0,01:31,3
109,0,1,01:19,3
108,1,0,00:54,3
107,1,0,00:49,3
106,1,0,00:47,3
105,0,1,00:35,3
104,1,0,00:23,3
103,0,1,00:17,3
102,1,0,00:10,3
101,0,1,00:01,3
185,0,1,09:35,4
184,1,0,09:28,4
183,1,0,09:26,4
182,1,0,09:09,4
181,0,1,08:51,4
180,1,0,08:24,4
179,1,0,08:16,4
178,0,1,08:03,4
177,1,0,07:58,4
176,0,1,07:41,4
175,1,0,07:10,4
174,1,0,06:34,4
173,0,1,06:18,4
172,1,0,06:00,4
171,0,1,05:48,4
170,1,0,05:38,4
169,1,0,05:13,4
168,1,0,05:01,4
167,0,1,04:57,4
166,1,0,04:44,4
165,0,1,04:29,4
164,1,0,04:00,4
163,0,1,03:52,4
162,1,0,03:43,4
161,0,1,03:32,4
160,1,0,03:16,4
159,0,1,02:51,4
158,1,0,02:34,4
157,1,0,02:29,4
156,0,1,02:11,4
155,1,0,01:56,4
154,0,1,01:48,4
153,1,0,01:31,4
152,0,1,01:23,4
151,1,0,00:53,4
150,0,1,00:38,4
149,1,0,00:16,4
