,off_pos,def_pos,time,period
44,0,1,]         02:06,1
43,0,1,09:48,1
42,1,0,09:29,1
41,0,1,09:18,1
40,1,0,09:08,1
39,1,0,08:59,1
38,1,0,08:46,1
37,0,1,08:30,1
36,1,0,08:06,1
35,1,0,08:05,1
34,0,1,07:45,1
33,1,0,07:37,1
32,0,1,07:26,1
31,1,0,07:08,1
30,1,0,07:03,1
29,0,1,06:50,1
28,0,1,06:36,1
27,1,0,06:16,1
26,0,1,06:01,1
25,1,0,05:35,1
24,0,1,05:25,1
23,1,0,04:53,1
22,1,0,04:50,1
21,1,0,04:30,1
20,0,1,04:26,1
19,1,0,03:58,1
18,1,0,03:50,1
17,1,0,03:33,1
16,1,0,03:29,1
15,1,0,03:14,1
14,1,0,03:05,1
13,0,1,02:49,1
12,0,1,02:47,1
11,1,0,02:42,1
10,0,1,02:19,1
9,1,0,02:11,1
8,1,0,02:08,1
7,1,0,01:51,1
6,1,0,01:32,1
5,0,1,01:17,1
4,1,0,01:09,1
3,0,1,00:46,1
2,1,0,00:37,1
1,1,0,00:32,1
0,1,0,00:03,1
80,1,0,09:53,2
79,0,1,09:32,2
78,1,0,09:11,2
77,1,0,09:06,2
76,0,1,08:44,2
75,1,0,08:37,2
74,1,0,08:20,2
73,1,0,08:04,2
72,0,1,07:58,2
71,1,0,07:42,2
70,0,1,07:24,2
69,1,0,07:16,2
68,0,1,06:59,2
67,1,0,06:25,2
66,0,1,05:53,2
65,1,0,05:39,2
64,1,0,05:24,2
63,1,0,05:17,2
62,1,0,05:01,2
61,1,0,04:57,2
60,0,1,04:40,2
59,1,0,04:25,2
58,0,1,04:03,2
57,1,0,03:32,2
56,0,1,03:23,2
55,1,0,03:00,2
54,1,0,02:39,2
53,1,0,02:15,2
52,0,1,01:49,2
51,1,0,01:39,2
50,0,1,01:22,2
49,1,0,01:05,2
48,0,1,00:48,2
47,1,0,00:37,2
46,0,1,00:28,2
45,1,0,00:01,2
129,1,0,09:49,3
128,0,1,09:38,3
127,1,0,09:27,3
126,0,1,08:56,3
125,1,0,08:51,3
124,0,1,08:35,3
123,1,0,08:22,3
122,0,1,08:17,3
121,1,0,07:55,3
120,1,0,07:52,3
119,1,0,07:49,3
118,1,0,07:40,3
117,0,1,07:34,3
116,1,0,07:12,3
115,0,1,07:09,3
114,1,0,06:41,3
113,1,0,06:34,3
112,0,1,06:24,3
111,1,0,06:01,3
110,1,0,05:49,3
109,1,0,05:36,3
108,0,1,05:18,3
107,1,0,05:13,3
106,0,1,05:07,3
105,1,0,04:48,3
104,0,1,04:37,3
103,1,0,04:27,3
102,1,0,04:24,3
101,1,0,04:14,3
100,0,1,03:57,3
99,1,0,03:49,3
98,0,1,03:36,3
97,1,0,03:31,3
96,1,0,02:44,3
95,1,0,02:30,3
94,1,0,02:23,3
93,0,1,02:21,3
92,1,0,02:12,3
91,1,0,02:05,3
90,0,1,01:58,3
89,1,0,01:54,3
88,1,0,01:45,3
87,1,0,01:38,3
86,0,1,00:51,3
85,1,0,00:46,3
84,0,1,00:35,3
83,1,0,00:22,3
82,0,1,00:12,3
81,1,0,00:04,3
165,1,0,09:38,4
164,0,1,09:16,4
163,1,0,09:05,4
162,1,0,08:57,4
161,0,1,08:52,4
160,1,0,08:46,4
159,0,1,08:33,4
158,1,0,08:32,4
157,0,1,08:13,4
156,1,0,08:05,4
155,1,0,07:59,4
154,1,0,07:38,4
153,0,1,07:18,4
152,1,0,07:08,4
151,1,0,06:47,4
150,1,0,06:25,4
149,0,1,06:04,4
148,1,0,05:40,4
147,1,0,05:09,4
146,1,0,05:06,4
145,1,0,04:13,4
144,0,1,04:05,4
143,1,0,03:34,4
142,1,0,03:19,4
141,0,1,03:08,4
140,1,0,02:50,4
139,1,0,02:11,4
138,1,0,01:55,4
137,0,1,01:40,4
136,1,0,01:29,4
135,1,0,01:28,4
134,1,0,01:13,4
133,1,0,00:51,4
132,1,0,00:45,4
131,1,0,00:19,4
130,0,1,00:02,4
