,off_pos,def_pos,time,period
41,0,1,09:34,1
40,1,0,09:19,1
39,0,1,08:59,1
38,1,0,08:56,1
37,1,0,08:41,1
36,0,1,08:33,1
35,1,0,08:12,1
34,1,0,08:04,1
33,0,1,07:49,1
32,1,0,07:40,1
31,1,0,07:19,1
30,0,1,07:07,1
29,1,0,06:53,1
28,0,1,06:35,1
27,1,0,06:29,1
26,0,1,06:15,1
25,1,0,06:06,1
24,0,1,05:57,1
23,1,0,05:45,1
22,1,0,05:42,1
21,0,1,05:20,1
20,1,0,05:12,1
19,1,0,05:09,1
18,0,1,04:53,1
17,1,0,04:47,1
16,0,1,04:28,1
15,1,0,04:17,1
14,1,0,03:56,1
13,0,1,03:31,1
12,1,0,03:08,1
11,0,1,02:48,1
10,1,0,02:19,1
9,0,1,02:04,1
8,1,0,01:55,1
7,0,1,01:40,1
6,1,0,01:30,1
5,0,1,01:15,1
4,1,0,00:59,1
3,0,1,00:38,1
2,1,0,00:19,1
1,1,0,00:10,1
0,0,1,00:01,1
82,1,0,09:13,2
81,1,0,09:08,2
80,1,0,09:05,2
79,0,1,08:45,2
78,1,0,08:37,2
77,1,0,08:29,2
76,0,1,08:16,2
75,1,0,08:02,2
74,0,1,07:48,2
73,1,0,07:37,2
72,0,1,07:29,2
71,1,0,07:10,2
70,1,0,06:54,2
69,1,0,06:41,2
68,0,1,06:32,2
67,1,0,06:28,2
66,0,1,06:04,2
65,1,0,05:54,2
64,0,1,05:33,2
63,1,0,05:24,2
62,0,1,05:01,2
61,1,0,04:43,2
60,0,1,04:36,2
59,1,0,03:59,2
58,0,1,03:52,2
57,0,1,03:30,2
56,1,0,03:19,2
55,0,1,03:03,2
54,1,0,02:45,2
53,0,1,02:36,2
52,1,0,02:08,2
51,1,0,02:06,2
50,0,1,01:48,2
49,1,0,01:44,2
48,1,0,01:25,2
47,1,0,01:08,2
46,0,1,00:58,2
45,1,0,00:49,2
44,1,0,00:38,2
43,1,0,00:18,2
42,0,1,00:07,2
124,1,0,09:45,3
123,0,1,09:20,3
122,1,0,09:00,3
121,1,0,08:33,3
120,1,0,08:30,3
119,1,0,08:16,3
118,1,0,08:03,3
117,1,0,07:41,3
116,1,0,07:38,3
115,1,0,07:28,3
114,0,1,07:12,3
113,1,0,07:03,3
112,0,1,06:43,3
111,1,0,06:32,3
110,0,1,06:19,3
109,1,0,06:13,3
108,0,1,06:04,3
107,1,0,05:49,3
106,0,1,05:45,3
105,1,0,05:13,3
104,0,1,04:48,3
103,1,0,04:42,3
102,0,1,04:24,3
101,1,0,04:10,3
100,0,1,03:56,3
99,1,0,03:49,3
98,1,0,03:30,3
97,0,1,03:13,3
96,1,0,03:01,3
95,0,1,02:37,3
94,1,0,02:30,3
93,0,1,02:00,3
92,1,0,01:45,3
91,0,1,01:41,3
90,1,0,01:28,3
89,0,1,01:23,3
88,1,0,01:19,3
87,0,1,01:04,3
86,1,0,00:58,3
85,0,1,00:40,3
84,1,0,00:20,3
83,1,0,00:14,3
170,0,1,09:49,4
169,1,0,09:36,4
168,0,1,09:19,4
167,1,0,08:54,4
166,1,0,08:45,4
165,0,1,08:33,4
164,0,1,08:31,4
163,0,1,08:15,4
162,1,0,08:10,4
161,0,1,07:57,4
160,1,0,07:42,4
159,1,0,07:33,4
158,0,1,07:05,4
157,1,0,06:57,4
156,1,0,06:20,4
155,1,0,06:04,4
154,0,1,06:03,4
153,1,0,06:02,4
152,0,1,05:38,4
151,1,0,05:17,4
150,1,0,05:15,4
149,1,0,05:00,4
148,0,1,04:55,4
147,1,0,04:34,4
146,0,1,04:20,4
145,1,0,04:17,4
144,1,0,03:56,4
143,1,0,03:34,4
142,1,0,03:25,4
141,0,1,03:04,4
140,1,0,02:55,4
139,1,0,02:49,4
138,0,1,02:20,4
137,1,0,02:00,4
136,0,1,01:34,4
135,1,0,01:16,4
134,0,1,00:59,4
133,1,0,00:44,4
132,1,0,00:34,4
131,1,0,00:25,4
130,1,0,00:24,4
129,1,0,00:18,4
128,1,0,00:16,4
127,1,0,00:13,4
126,1,0,00:10,4
125,1,0,00:02,4
