,off_pos,def_pos,time,period
43,1,0,09:42,1
42,1,0,09:30,1
41,0,1,09:12,1
40,1,0,09:02,1
39,0,1,08:35,1
38,1,0,08:26,1
37,1,0,08:11,1
36,1,0,07:57,1
35,0,1,07:38,1
34,1,0,07:28,1
33,0,1,06:58,1
32,1,0,06:48,1
31,0,1,06:44,1
30,1,0,06:34,1
29,1,0,06:19,1
28,0,1,06:03,1
27,1,0,05:51,1
26,1,0,05:39,1
25,1,0,05:30,1
24,0,1,05:14,1
23,1,0,04:53,1
22,0,1,04:43,1
21,1,0,04:29,1
20,1,0,04:24,1
19,1,0,04:21,1
18,0,1,04:18,1
17,1,0,03:53,1
16,0,1,03:41,1
15,1,0,03:29,1
14,0,1,03:11,1
13,1,0,03:03,1
12,1,0,02:37,1
11,1,0,02:24,1
10,1,0,02:14,1
9,1,0,02:10,1
8,1,0,02:07,1
7,0,1,01:58,1
6,1,0,01:47,1
5,1,0,01:22,1
4,0,1,01:03,1
3,1,0,00:38,1
2,0,1,00:30,1
1,1,0,00:23,1
0,0,1,00:03,1
81,1,0,09:46,2
80,1,0,09:40,2
79,1,0,09:27,2
78,0,1,09:05,2
77,1,0,08:53,2
76,0,1,08:28,2
75,1,0,08:08,2
74,1,0,07:51,2
73,0,1,07:37,2
72,1,0,07:23,2
71,0,1,07:11,2
70,1,0,07:08,2
69,0,1,06:52,2
68,1,0,06:35,2
67,0,1,06:07,2
66,1,0,05:58,2
65,0,1,05:46,2
64,1,0,05:39,2
63,1,0,05:24,2
62,0,1,04:56,2
61,1,0,04:42,2
60,0,1,04:12,2
59,1,0,04:01,2
58,1,0,03:57,2
57,0,1,03:48,2
56,1,0,03:36,2
55,1,0,03:16,2
54,1,0,03:04,2
53,0,1,02:48,2
52,1,0,02:44,2
51,0,1,02:40,2
50,1,0,02:05,2
49,0,1,01:40,2
48,1,0,01:24,2
47,0,1,01:15,2
46,1,0,00:56,2
45,1,0,00:52,2
44,0,1,00:08,2
119,0,1,09:42,3
118,1,0,09:31,3
117,0,1,09:13,3
116,1,0,09:00,3
115,0,1,08:45,3
114,1,0,08:40,3
113,0,1,08:38,3
112,1,0,08:30,3
111,0,1,08:11,3
110,1,0,08:06,3
109,0,1,07:51,3
108,1,0,07:29,3
107,0,1,07:02,3
106,1,0,06:50,3
105,0,1,06:33,3
104,1,0,06:18,3
103,0,1,05:59,3
102,1,0,05:52,3
101,0,1,05:36,3
100,1,0,05:29,3
99,0,1,05:11,3
98,1,0,04:31,3
97,0,1,04:13,3
96,0,1,04:00,3
95,1,0,03:29,3
94,1,0,03:21,3
93,1,0,03:08,3
92,0,1,02:55,3
91,1,0,02:39,3
90,0,1,02:25,3
89,1,0,02:13,3
88,0,1,02:02,3
87,1,0,01:52,3
86,1,0,01:47,3
85,0,1,01:18,3
84,1,0,00:56,3
83,0,1,00:40,3
82,1,0,00:16,3
157,1,0,09:45,4
156,0,1,09:21,4
155,1,0,09:03,4
154,0,1,08:42,4
153,1,0,08:38,4
152,1,0,08:33,4
151,0,1,08:13,4
150,0,1,08:07,4
149,1,0,08:01,4
148,0,1,07:46,4
147,0,1,07:45,4
146,1,0,07:29,4
145,0,1,07:07,4
144,1,0,06:45,4
143,0,1,06:26,4
142,1,0,06:24,4
141,1,0,06:19,4
140,0,1,05:48,4
139,1,0,05:20,4
138,0,1,05:14,4
137,1,0,04:50,4
136,0,1,04:05,4
135,1,0,03:48,4
134,0,1,03:30,4
133,1,0,03:06,4
132,0,1,02:47,4
131,1,0,02:42,4
130,0,1,02:23,4
129,1,0,02:05,4
128,0,1,01:59,4
127,1,0,01:52,4
126,0,1,01:23,4
125,1,0,01:18,4
124,0,1,01:12,4
123,1,0,00:56,4
122,0,1,00:43,4
121,1,0,00:22,4
120,0,1,00:13,4
