,off_pos,def_pos,time,period
41,0,1,09:40,1
40,1,0,09:26,1
39,1,0,09:20,1
38,0,1,09:06,1
37,1,0,08:58,1
36,1,0,08:50,1
35,0,1,08:30,1
34,1,0,08:08,1
33,0,1,07:58,1
32,1,0,07:31,1
31,0,1,07:16,1
30,0,1,07:15,1
29,1,0,06:56,1
28,0,1,06:48,1
27,1,0,06:31,1
26,1,0,06:24,1
25,1,0,06:09,1
24,0,1,05:49,1
23,1,0,05:45,1
22,0,1,05:19,1
21,1,0,05:11,1
20,0,1,05:06,1
19,1,0,04:43,1
18,0,1,04:11,1
17,1,0,04:03,1
16,0,1,03:36,1
15,1,0,03:17,1
14,0,1,03:09,1
13,1,0,03:04,1
12,0,1,02:57,1
11,1,0,02:32,1
10,0,1,02:22,1
9,1,0,02:08,1
8,1,0,02:04,1
7,0,1,01:53,1
6,1,0,01:40,1
5,0,1,01:10,1
4,1,0,00:42,1
3,0,1,00:25,1
2,1,0,00:24,1
1,1,0,00:13,1
0,0,1,00:02,1
73,1,0,09:43,2
72,0,1,09:19,2
71,1,0,08:50,2
70,0,1,08:30,2
69,1,0,08:08,2
68,0,1,07:50,2
67,1,0,07:26,2
66,0,1,07:00,2
65,1,0,06:42,2
64,0,1,05:56,2
63,1,0,05:49,2
62,1,0,05:36,2
61,0,1,05:24,2
60,1,0,04:44,2
59,0,1,04:31,2
58,1,0,04:05,2
57,0,1,03:35,2
56,1,0,03:11,2
55,0,1,03:05,2
54,1,0,02:55,2
53,0,1,02:48,2
52,1,0,02:23,2
51,0,1,02:09,2
50,1,0,01:56,2
49,0,1,01:48,2
48,1,0,01:24,2
47,0,1,01:16,2
46,1,0,00:50,2
45,0,1,00:45,2
44,1,0,00:34,2
43,0,1,00:23,2
42,1,0,00:01,2
115,1,0,09:39,3
114,0,1,09:00,3
113,1,0,08:22,3
112,1,0,08:17,3
111,1,0,08:08,3
110,0,1,07:44,3
109,0,1,07:40,3
108,1,0,07:27,3
107,0,1,07:09,3
106,1,0,06:48,3
105,0,1,06:29,3
104,1,0,06:17,3
103,0,1,06:07,3
102,1,0,06:03,3
101,0,1,05:42,3
100,1,0,05:23,3
99,0,1,05:16,3
98,1,0,05:06,3
97,1,0,04:53,3
96,1,0,04:30,3
95,0,1,04:15,3
94,1,0,04:06,3
93,0,1,03:51,3
92,1,0,03:50,3
91,0,1,03:28,3
90,1,0,03:21,3
89,1,0,03:14,3
88,0,1,02:54,3
87,1,0,02:31,3
86,0,1,02:21,3
85,1,0,02:17,3
84,0,1,02:15,3
83,1,0,02:07,3
82,0,1,01:56,3
81,1,0,01:42,3
80,0,1,01:35,3
79,1,0,01:15,3
78,1,0,01:10,3
77,0,1,01:02,3
76,1,0,00:46,3
75,0,1,00:37,3
74,1,0,00:11,3
153,0,1,09:42,4
152,1,0,09:24,4
151,0,1,09:05,4
150,1,0,08:57,4
149,0,1,08:38,4
148,1,0,08:30,4
147,0,1,08:08,4
146,1,0,08:00,4
145,0,1,07:46,4
144,1,0,07:16,4
143,1,0,06:45,4
142,1,0,06:29,4
141,1,0,06:23,4
140,0,1,05:57,4
139,1,0,05:44,4
138,0,1,05:29,4
137,1,0,05:14,4
136,0,1,05:11,4
135,1,0,04:45,4
134,0,1,04:21,4
133,1,0,03:55,4
132,1,0,03:35,4
131,1,0,03:09,4
130,0,1,02:52,4
129,1,0,02:28,4
128,0,1,02:23,4
127,1,0,01:55,4
126,0,1,01:50,4
125,1,0,01:27,4
124,0,1,01:23,4
123,1,0,01:21,4
122,0,1,01:13,4
121,1,0,00:56,4
120,1,0,00:51,4
119,1,0,00:27,4
118,0,1,00:23,4
117,1,0,00:14,4
116,1,0,00:01,4
