,off_pos,def_pos,time,period
34,1,0,09:54,1
33,0,1,09:32,1
32,1,0,09:03,1
31,0,1,08:38,1
30,1,0,08:32,1
29,1,0,08:29,1
28,0,1,08:07,1
27,1,0,07:46,1
26,1,0,07:34,1
25,0,1,07:03,1
24,1,0,06:44,1
23,0,1,06:22,1
22,1,0,05:57,1
21,0,1,05:40,1
20,1,0,05:10,1
19,0,1,04:58,1
18,1,0,04:38,1
17,0,1,04:31,1
16,1,0,04:17,1
15,0,1,03:51,1
14,1,0,03:35,1
13,0,1,03:19,1
12,1,0,02:52,1
11,0,1,02:48,1
10,1,0,02:37,1
9,1,0,02:16,1
8,1,0,01:56,1
7,1,0,01:45,1
6,0,1,01:33,1
5,1,0,01:21,1
4,0,1,01:05,1
3,1,0,01:01,1
2,1,0,00:45,1
1,0,1,00:38,1
0,1,0,00:09,1
71,1,0,09:36,2
70,1,0,09:04,2
69,1,0,08:48,2
68,0,1,08:45,2
67,1,0,08:30,2
66,0,1,08:08,2
65,0,1,08:06,2
64,1,0,07:53,2
63,0,1,07:30,2
62,1,0,07:23,2
61,0,1,06:56,2
60,1,0,06:44,2
59,1,0,06:40,2
58,0,1,06:32,2
57,1,0,06:08,2
56,0,1,05:55,2
55,1,0,05:43,2
54,1,0,05:25,2
53,1,0,05:16,2
52,0,1,05:12,2
51,1,0,04:48,2
50,0,1,04:31,2
49,1,0,04:21,2
48,0,1,03:55,2
47,1,0,03:30,2
46,0,1,02:49,2
45,1,0,02:39,2
44,1,0,02:12,2
43,1,0,02:02,2
42,1,0,01:59,2
41,0,1,01:36,2
40,1,0,01:20,2
39,0,1,01:06,2
38,1,0,01:02,2
37,0,1,00:56,2
36,1,0,00:21,2
35,0,1,00:00,2
107,1,0,09:53,3
106,1,0,09:22,3
105,1,0,09:12,3
104,1,0,08:53,3
103,0,1,08:43,3
102,1,0,08:13,3
101,0,1,08:05,3
100,1,0,07:53,3
99,0,1,07:25,3
98,1,0,07:13,3
97,0,1,06:51,3
96,1,0,06:25,3
95,0,1,06:13,3
94,1,0,06:01,3
93,0,1,05:41,3
92,1,0,05:22,3
91,1,0,05:14,3
90,1,0,05:04,3
89,1,0,05:00,3
88,0,1,04:32,3
87,1,0,04:07,3
86,0,1,03:49,3
85,1,0,03:28,3
84,0,1,03:16,3
83,0,1,03:05,3
82,1,0,02:56,3
81,0,1,02:26,3
80,1,0,02:03,3
79,0,1,01:49,3
78,1,0,01:29,3
77,1,0,01:18,3
76,0,1,01:01,3
75,1,0,00:52,3
74,0,1,00:36,3
73,1,0,00:08,3
72,1,0,00:02,3
139,0,1,09:32,4
138,1,0,09:17,4
137,1,0,09:07,4
136,0,1,08:46,4
135,1,0,08:36,4
134,0,1,08:30,4
133,1,0,08:14,4
132,0,1,07:59,4
131,1,0,07:31,4
130,1,0,07:04,4
129,0,1,07:01,4
128,1,0,06:39,4
127,0,1,06:09,4
126,1,0,05:59,4
125,1,0,05:49,4
124,0,1,05:26,4
123,1,0,04:58,4
122,0,1,04:50,4
121,1,0,04:18,4
120,1,0,04:08,4
119,1,0,03:39,4
118,0,1,03:17,4
117,1,0,02:49,4
116,0,1,02:25,4
115,1,0,02:09,4
114,1,0,01:51,4
113,0,1,01:29,4
112,1,0,01:09,4
111,1,0,01:06,4
110,0,1,00:49,4
109,1,0,00:33,4
108,0,1,00:01,4
156,1,0,04:40,5
155,1,0,04:16,5
154,0,1,03:49,5
153,1,0,03:35,5
152,0,1,03:14,5
151,1,0,03:08,5
150,1,0,03:06,5
149,1,0,02:48,5
148,0,1,02:31,5
147,1,0,02:04,5
146,1,0,01:42,5
145,1,0,01:16,5
144,0,1,00:57,5
143,1,0,00:51,5
142,0,1,00:40,5
141,1,0,00:11,5
140,0,1,00:09,5
