,off_pos,def_pos,time,period
36,0,1,09:16,1
35,1,0,08:58,1
34,0,1,08:40,1
33,1,0,08:23,1
32,0,1,08:12,1
31,1,0,08:01,1
30,1,0,07:51,1
29,1,0,07:33,1
28,0,1,07:17,1
27,1,0,07:02,1
26,0,1,06:55,1
25,1,0,06:41,1
24,0,1,06:34,1
23,1,0,06:23,1
22,0,1,05:58,1
21,1,0,05:49,1
20,0,1,05:04,1
19,1,0,04:49,1
18,0,1,04:18,1
17,1,0,04:03,1
16,0,1,03:54,1
15,1,0,03:36,1
14,0,1,03:29,1
13,1,0,03:18,1
12,0,1,03:09,1
11,1,0,03:02,1
10,0,1,02:33,1
9,1,0,02:24,1
8,0,1,02:05,1
7,1,0,01:42,1
6,0,1,01:20,1
5,1,0,01:10,1
4,0,1,00:57,1
3,0,1,00:37,1
2,1,0,00:28,1
1,0,1,00:19,1
0,1,0,00:04,1
75,1,0,09:50,2
74,0,1,09:17,2
73,1,0,08:58,2
72,1,0,08:54,2
71,0,1,08:39,2
70,1,0,08:26,2
69,0,1,08:22,2
68,1,0,08:12,2
67,1,0,08:01,2
66,0,1,07:47,2
65,1,0,07:36,2
64,0,1,07:19,2
63,1,0,07:06,2
62,0,1,06:51,2
61,1,0,06:31,2
60,1,0,06:17,2
59,0,1,05:47,2
58,1,0,05:23,2
57,0,1,05:04,2
56,1,0,04:45,2
55,0,1,04:12,2
54,1,0,04:03,2
53,1,0,03:56,2
52,1,0,03:41,2
51,0,1,03:22,2
50,1,0,03:14,2
49,0,1,03:02,2
48,1,0,02:59,2
47,0,1,02:36,2
46,1,0,02:26,2
45,0,1,02:15,2
44,1,0,02:12,2
43,0,1,01:34,2
42,1,0,01:23,2
41,1,0,01:20,2
40,1,0,01:11,2
39,0,1,00:53,2
38,1,0,00:30,2
37,0,1,00:00,2
107,1,0,09:32,3
106,0,1,09:19,3
105,1,0,09:09,3
104,1,0,09:02,3
103,0,1,08:31,3
102,1,0,08:14,3
101,0,1,07:52,3
100,1,0,07:30,3
99,0,1,07:13,3
98,1,0,06:47,3
97,1,0,06:21,3
96,0,1,06:13,3
95,1,0,05:56,3
94,0,1,05:38,3
93,1,0,05:14,3
92,1,0,04:41,3
91,1,0,04:27,3
90,1,0,04:15,3
89,0,1,03:51,3
88,0,1,03:28,3
87,1,0,03:20,3
86,1,0,03:03,3
85,0,1,02:44,3
84,1,0,02:19,3
83,0,1,01:58,3
82,1,0,01:27,3
81,0,1,01:06,3
80,1,0,00:42,3
79,0,1,00:36,3
78,1,0,00:08,3
77,1,0,00:01,3
76,1,0,00:00,3
158,0,1,09:53,4
157,1,0,09:39,4
156,0,1,09:35,4
155,1,0,09:20,4
154,0,1,09:05,4
153,0,1,09:02,4
152,1,0,08:32,4
151,0,1,08:11,4
150,1,0,07:57,4
149,1,0,07:28,4
148,1,0,07:24,4
147,1,0,07:08,4
146,0,1,07:05,4
145,1,0,06:59,4
144,0,1,06:43,4
143,1,0,06:33,4
142,0,1,06:16,4
141,1,0,06:13,4
140,1,0,06:09,4
139,0,1,05:58,4
138,1,0,05:32,4
137,1,0,04:46,4
136,1,0,04:43,4
135,0,1,04:38,4
134,1,0,04:30,4
133,0,1,03:41,4
132,1,0,03:34,4
131,1,0,03:16,4
130,1,0,03:02,4
129,0,1,02:57,4
128,1,0,02:50,4
127,0,1,02:21,4
126,1,0,02:11,4
125,1,0,01:54,4
124,1,0,01:47,4
123,1,0,01:35,4
122,1,0,01:28,4
121,1,0,01:12,4
120,1,0,01:04,4
119,1,0,00:49,4
118,1,0,00:36,4
117,1,0,00:34,4
116,1,0,00:31,4
115,1,0,00:24,4
114,1,0,00:22,4
113,1,0,00:16,4
112,1,0,00:15,4
111,1,0,00:12,4
110,1,0,00:11,4
109,1,0,00:10,4
108,1,0,00:04,4
