,off_pos,def_pos,time,period
38,0,1,09:43,1
37,1,0,09:19,1
36,0,1,09:00,1
35,1,0,08:35,1
34,0,1,08:07,1
33,1,0,07:39,1
32,0,1,07:12,1
31,1,0,06:55,1
30,0,1,06:36,1
29,1,0,06:29,1
28,0,1,06:11,1
27,1,0,06:06,1
26,0,1,05:48,1
25,1,0,05:39,1
24,1,0,05:24,1
23,0,1,04:57,1
22,1,0,04:46,1
21,0,1,04:18,1
20,1,0,04:03,1
19,1,0,04:00,1
18,1,0,03:58,1
17,0,1,03:38,1
16,1,0,03:27,1
15,1,0,03:22,1
14,0,1,02:54,1
13,1,0,02:29,1
12,0,1,02:11,1
11,1,0,02:03,1
10,0,1,01:46,1
9,1,0,01:30,1
8,0,1,01:19,1
7,1,0,01:14,1
6,0,1,01:02,1
5,1,0,00:56,1
4,1,0,00:44,1
3,1,0,00:37,1
2,1,0,00:24,1
1,1,0,00:21,1
0,0,1,00:04,1
79,0,1,09:46,2
78,1,0,09:29,2
77,0,1,09:17,2
76,1,0,09:07,2
75,1,0,08:47,2
74,1,0,08:39,2
73,1,0,08:37,2
72,0,1,08:16,2
71,1,0,07:52,2
70,0,1,07:41,2
69,1,0,07:32,2
68,0,1,07:06,2
67,1,0,06:42,2
66,0,1,06:13,2
65,1,0,05:45,2
64,1,0,05:41,2
63,0,1,05:34,2
62,0,1,05:31,2
61,1,0,05:19,2
60,0,1,04:45,2
59,1,0,04:31,2
58,0,1,04:15,2
57,1,0,04:10,2
56,0,1,03:49,2
55,1,0,03:39,2
54,0,1,03:12,2
53,1,0,03:05,2
52,1,0,03:02,2
51,0,1,02:36,2
50,1,0,02:27,2
49,1,0,02:21,2
48,0,1,01:55,2
47,1,0,01:48,2
46,0,1,01:39,2
45,1,0,01:34,2
44,0,1,01:24,2
43,1,0,01:15,2
42,1,0,01:00,2
41,1,0,00:45,2
40,0,1,00:14,2
39,1,0,00:01,2
116,0,1,09:52,3
115,1,0,09:35,3
114,0,1,09:28,3
113,1,0,09:10,3
112,0,1,08:53,3
111,1,0,08:41,3
110,0,1,08:10,3
109,1,0,07:54,3
108,0,1,07:47,3
107,1,0,07:39,3
106,0,1,07:20,3
105,1,0,07:11,3
104,1,0,07:07,3
103,0,1,06:38,3
102,1,0,06:10,3
101,0,1,05:49,3
100,1,0,05:36,3
99,0,1,05:20,3
98,1,0,05:02,3
97,1,0,04:49,3
96,0,1,04:35,3
95,1,0,04:23,3
94,1,0,04:18,3
93,0,1,04:00,3
92,1,0,03:34,3
91,0,1,02:56,3
90,1,0,02:53,3
89,1,0,02:32,3
88,0,1,02:25,3
87,1,0,01:57,3
86,1,0,01:53,3
85,0,1,01:36,3
84,1,0,01:25,3
83,0,1,00:58,3
82,1,0,00:49,3
81,1,0,00:45,3
80,1,0,00:09,3
154,1,0,09:47,4
153,1,0,09:24,4
152,1,0,09:07,4
151,0,1,08:39,4
150,1,0,08:11,4
149,1,0,07:54,4
148,1,0,07:39,4
147,0,1,07:15,4
146,1,0,07:08,4
145,1,0,06:42,4
144,1,0,06:28,4
143,0,1,06:23,4
142,1,0,06:15,4
141,0,1,06:00,4
140,1,0,05:39,4
139,1,0,05:37,4
138,0,1,05:31,4
137,1,0,05:24,4
136,0,1,05:03,4
135,1,0,04:54,4
134,0,1,04:25,4
133,1,0,04:19,4
132,0,1,04:11,4
131,1,0,03:51,4
130,0,1,03:30,4
129,1,0,03:22,4
128,0,1,03:15,4
127,1,0,02:42,4
126,0,1,02:13,4
125,1,0,02:03,4
124,1,0,01:57,4
123,0,1,01:33,4
122,1,0,01:21,4
121,0,1,01:02,4
120,1,0,00:58,4
119,0,1,00:53,4
118,1,0,00:34,4
117,0,1,00:27,4
