,off_pos,def_pos,time,period
40,0,1,09:46,1
39,1,0,09:41,1
38,1,0,09:29,1
37,0,1,09:08,1
36,1,0,08:48,1
35,0,1,08:34,1
34,1,0,08:22,1
33,0,1,08:09,1
32,1,0,07:46,1
31,1,0,07:42,1
30,0,1,07:31,1
29,1,0,07:24,1
28,0,1,06:54,1
27,1,0,06:38,1
26,1,0,06:15,1
25,0,1,05:56,1
24,1,0,05:46,1
23,0,1,05:34,1
22,1,0,05:17,1
21,0,1,05:11,1
20,1,0,05:03,1
19,1,0,04:30,1
18,0,1,04:19,1
17,1,0,04:07,1
16,1,0,04:02,1
15,1,0,03:53,1
14,0,1,03:36,1
13,1,0,03:10,1
12,0,1,02:57,1
11,1,0,02:52,1
10,0,1,02:20,1
9,1,0,02:11,1
8,0,1,01:51,1
7,1,0,01:44,1
6,1,0,01:33,1
5,1,0,01:32,1
4,1,0,01:15,1
3,0,1,01:00,1
2,1,0,00:41,1
1,0,1,00:14,1
0,1,0,00:08,1
83,1,0,09:48,2
82,1,0,09:45,2
81,0,1,09:18,2
80,1,0,09:12,2
79,0,1,09:01,2
78,1,0,08:40,2
77,0,1,08:10,2
76,1,0,08:08,2
75,0,1,07:54,2
74,1,0,07:31,2
73,0,1,06:59,2
72,1,0,06:51,2
71,0,1,06:27,2
70,1,0,06:16,2
69,0,1,06:04,2
68,1,0,05:52,2
67,0,1,05:32,2
66,1,0,05:27,2
65,0,1,05:02,2
64,1,0,04:54,2
63,0,1,04:36,2
62,1,0,04:18,2
61,1,0,04:12,2
60,1,0,04:08,2
59,0,1,03:36,2
58,1,0,03:21,2
57,1,0,03:10,2
56,1,0,03:07,2
55,0,1,02:46,2
54,1,0,02:29,2
53,1,0,02:25,2
52,0,1,02:12,2
51,1,0,02:05,2
50,0,1,02:02,2
49,1,0,01:44,2
48,0,1,01:10,2
47,0,1,01:08,2
46,1,0,00:49,2
45,1,0,00:34,2
44,1,0,00:21,2
43,1,0,00:04,2
42,1,0,00:02,2
41,1,0,00:01,2
126,0,1,09:52,3
125,0,1,09:39,3
124,1,0,09:29,3
123,1,0,08:59,3
122,1,0,08:53,3
121,0,1,08:30,3
120,1,0,08:19,3
119,0,1,08:15,3
118,1,0,07:59,3
117,0,1,07:38,3
116,1,0,07:26,3
115,0,1,07:04,3
114,0,1,06:55,3
113,0,1,06:54,3
112,1,0,06:53,3
111,0,1,06:40,3
110,1,0,06:31,3
109,0,1,05:58,3
108,1,0,05:55,3
107,0,1,05:46,3
106,1,0,05:35,3
105,1,0,05:07,3
104,0,1,04:56,3
103,1,0,04:39,3
102,0,1,04:10,3
101,1,0,04:05,3
100,0,1,03:50,3
99,1,0,03:44,3
98,0,1,03:16,3
97,1,0,03:13,3
96,0,1,03:03,3
95,1,0,02:44,3
94,0,1,02:16,3
93,1,0,02:07,3
92,0,1,01:46,3
91,1,0,01:42,3
90,0,1,01:20,3
89,1,0,01:06,3
88,1,0,00:44,3
87,1,0,00:38,3
86,0,1,00:15,3
85,1,0,00:09,3
84,0,1,00:01,3
173,1,0,09:50,4
172,0,1,09:38,4
171,0,1,09:37,4
170,1,0,09:15,4
169,1,0,09:12,4
168,0,1,08:45,4
167,1,0,08:29,4
166,0,1,08:16,4
165,1,0,07:57,4
164,0,1,07:22,4
163,0,1,07:19,4
162,1,0,07:04,4
161,0,1,06:52,4
160,1,0,06:46,4
159,0,1,06:43,4
158,1,0,06:33,4
157,0,1,06:25,4
156,1,0,06:17,4
155,0,1,06:02,4
154,1,0,05:48,4
153,1,0,05:26,4
152,1,0,05:16,4
151,1,0,04:44,4
150,0,1,04:34,4
149,1,0,04:25,4
148,1,0,04:09,4
147,1,0,04:06,4
146,0,1,03:29,4
145,1,0,03:18,4
144,1,0,03:11,4
143,1,0,03:04,4
142,0,1,02:44,4
141,1,0,02:38,4
140,0,1,02:21,4
139,1,0,02:10,4
138,1,0,02:01,4
137,1,0,01:59,4
136,0,1,01:51,4
135,1,0,01:46,4
134,0,1,01:33,4
133,1,0,01:14,4
132,1,0,01:13,4
131,0,1,00:49,4
130,1,0,00:30,4
129,1,0,00:24,4
128,1,0,00:20,4
127,0,1,00:18,4
