,off_pos,def_pos,time,period
38,1,0,09:48,1
37,0,1,09:26,1
36,1,0,09:15,1
35,0,1,09:01,1
34,1,0,08:49,1
33,0,1,08:34,1
32,1,0,08:23,1
31,0,1,08:02,1
30,1,0,07:58,1
29,0,1,07:40,1
28,1,0,07:37,1
27,0,1,07:30,1
26,1,0,07:20,1
25,0,1,07:06,1
24,1,0,06:55,1
23,0,1,06:32,1
22,1,0,06:28,1
21,0,1,06:17,1
20,1,0,06:03,1
19,0,1,05:38,1
18,1,0,05:14,1
17,0,1,04:47,1
16,1,0,04:42,1
15,1,0,04:41,1
14,1,0,03:48,1
13,0,1,03:18,1
12,1,0,03:03,1
11,0,1,02:30,1
10,1,0,02:21,1
9,0,1,01:52,1
8,1,0,01:41,1
7,0,1,01:17,1
6,1,0,01:11,1
5,1,0,00:56,1
4,1,0,00:53,1
3,0,1,00:28,1
2,1,0,00:07,1
1,1,0,00:04,1
0,0,1,00:01,1
73,1,0,09:49,2
72,0,1,09:29,2
71,1,0,09:20,2
70,0,1,08:51,2
69,1,0,08:37,2
68,1,0,08:24,2
67,0,1,08:02,2
66,1,0,07:49,2
65,0,1,07:38,2
64,1,0,07:19,2
63,1,0,07:16,2
62,0,1,06:55,2
61,1,0,06:27,2
60,0,1,06:00,2
59,1,0,05:55,2
58,0,1,05:49,2
57,1,0,05:42,2
56,1,0,05:33,2
55,1,0,05:29,2
54,0,1,04:29,2
53,1,0,04:23,2
52,0,1,03:54,2
51,1,0,03:46,2
50,0,1,03:16,2
49,1,0,03:10,2
48,1,0,03:07,2
47,0,1,02:40,2
46,1,0,02:06,2
45,1,0,01:49,2
44,1,0,01:29,2
43,0,1,00:52,2
42,1,0,00:36,2
41,0,1,00:12,2
40,1,0,00:03,2
39,1,0,00:01,2
111,1,0,09:44,3
110,0,1,09:22,3
109,1,0,09:11,3
108,1,0,09:10,3
107,1,0,08:53,3
106,0,1,08:46,3
105,1,0,08:38,3
104,1,0,08:33,3
103,0,1,08:22,3
102,1,0,08:06,3
101,1,0,07:49,3
100,1,0,07:45,3
99,0,1,07:24,3
98,1,0,07:08,3
97,0,1,06:42,3
96,1,0,06:17,3
95,0,1,06:00,3
94,1,0,05:43,3
93,1,0,05:32,3
92,0,1,04:43,3
91,1,0,04:24,3
90,1,0,04:21,3
89,0,1,04:07,3
88,1,0,03:52,3
87,0,1,03:41,3
86,1,0,03:08,3
85,0,1,02:40,3
84,1,0,02:30,3
83,0,1,02:16,3
82,1,0,02:12,3
81,1,0,02:10,3
80,1,0,01:55,3
79,1,0,01:51,3
78,1,0,01:33,3
77,0,1,01:03,3
76,1,0,00:44,3
75,0,1,00:15,3
74,1,0,00:01,3
149,1,0,09:40,4
148,1,0,09:27,4
147,0,1,09:02,4
146,1,0,08:50,4
145,1,0,08:32,4
144,0,1,08:22,4
143,1,0,08:16,4
142,0,1,08:02,4
141,1,0,07:48,4
140,0,1,07:27,4
139,1,0,07:14,4
138,0,1,06:57,4
137,1,0,06:50,4
136,1,0,06:41,4
135,0,1,06:25,4
134,1,0,06:08,4
133,0,1,05:46,4
132,1,0,05:39,4
131,0,1,05:23,4
130,1,0,05:03,4
129,1,0,04:56,4
128,0,1,04:35,4
127,1,0,04:02,4
126,0,1,03:42,4
125,1,0,03:28,4
124,0,1,02:47,4
123,1,0,02:32,4
122,0,1,02:23,4
121,1,0,02:00,4
120,1,0,01:53,4
119,0,1,01:25,4
118,1,0,01:22,4
117,1,0,01:12,4
116,0,1,00:58,4
115,1,0,00:54,4
114,0,1,00:41,4
113,1,0,00:15,4
112,0,1,00:01,4
