,off_pos,def_pos,time,period
29,1,0,09:46,1
28,0,1,09:27,1
27,0,1,09:06,1
26,1,0,08:48,1
25,0,1,08:26,1
24,1,0,08:05,1
23,0,1,07:31,1
22,1,0,07:06,1
21,0,1,06:50,1
20,1,0,06:38,1
19,1,0,06:12,1
18,0,1,05:45,1
17,1,0,05:24,1
16,0,1,05:05,1
15,1,0,04:47,1
14,0,1,04:22,1
13,1,0,04:14,1
12,1,0,04:03,1
11,1,0,03:57,1
10,1,0,03:40,1
9,1,0,03:37,1
8,1,0,03:14,1
7,0,1,02:49,1
6,1,0,02:21,1
5,1,0,02:01,1
4,1,0,01:42,1
3,0,1,01:18,1
2,1,0,00:55,1
1,1,0,00:36,1
0,1,0,00:13,1
64,0,1,09:47,2
63,1,0,09:30,2
62,1,0,09:27,2
61,0,1,09:13,2
60,1,0,09:02,2
59,0,1,08:35,2
58,1,0,08:10,2
57,1,0,08:06,2
56,0,1,07:50,2
55,1,0,07:30,2
54,0,1,07:03,2
53,1,0,06:38,2
52,0,1,06:03,2
51,1,0,05:50,2
50,0,1,05:27,2
49,1,0,05:21,2
48,0,1,04:59,2
47,1,0,04:30,2
46,1,0,04:09,2
45,0,1,03:40,2
44,1,0,03:12,2
43,0,1,02:29,2
42,1,0,02:15,2
41,0,1,02:08,2
40,1,0,01:54,2
39,0,1,01:45,2
38,1,0,01:27,2
37,1,0,01:17,2
36,0,1,01:14,2
35,1,0,01:01,2
34,0,1,00:53,2
33,1,0,00:37,2
32,0,1,00:31,2
31,1,0,00:13,2
30,1,0,00:10,2
105,1,0,09:48,3
104,0,1,09:30,3
103,1,0,09:02,3
102,0,1,08:37,3
101,1,0,08:30,3
100,0,1,08:17,3
99,0,1,07:58,3
98,1,0,07:56,3
97,0,1,07:54,3
96,1,0,07:43,3
95,0,1,07:27,3
94,0,1,07:12,3
93,1,0,07:03,3
92,0,1,06:39,3
91,1,0,06:30,3
90,1,0,06:19,3
89,1,0,06:08,3
88,1,0,06:05,3
87,1,0,05:54,3
86,1,0,05:28,3
85,1,0,05:22,3
84,0,1,04:59,3
83,1,0,04:46,3
82,1,0,04:32,3
81,1,0,04:04,3
80,0,1,03:55,3
79,1,0,03:44,3
78,0,1,03:11,3
77,1,0,02:56,3
76,1,0,02:44,3
75,0,1,02:17,3
74,1,0,02:04,3
73,1,0,02:01,3
72,1,0,01:44,3
71,1,0,01:30,3
70,0,1,01:09,3
69,1,0,00:46,3
68,1,0,00:43,3
67,1,0,00:31,3
66,0,1,00:07,3
65,1,0,00:00,3
152,1,0,09:40,4
151,0,1,09:26,4
150,1,0,09:12,4
149,0,1,08:57,4
148,1,0,08:52,4
147,0,1,08:42,4
146,1,0,08:29,4
145,0,1,08:18,4
144,1,0,07:59,4
143,1,0,07:38,4
142,0,1,07:25,4
141,1,0,07:04,4
140,0,1,06:52,4
139,1,0,06:49,4
138,0,1,06:28,4
137,1,0,06:04,4
136,0,1,05:58,4
135,1,0,05:34,4
134,0,1,05:05,4
133,1,0,04:50,4
132,1,0,04:48,4
131,0,1,04:34,4
130,1,0,04:10,4
129,0,1,04:07,4
128,1,0,03:56,4
127,0,1,03:49,4
126,1,0,03:34,4
125,0,1,03:20,4
124,1,0,02:58,4
123,1,0,02:56,4
122,0,1,02:31,4
121,1,0,02:22,4
120,1,0,02:10,4
119,0,1,02:09,4
118,1,0,01:55,4
117,1,0,01:53,4
116,0,1,01:18,4
115,1,0,01:06,4
114,0,1,00:51,4
113,1,0,00:46,4
112,0,1,00:39,4
111,1,0,00:31,4
110,0,1,00:21,4
109,1,0,00:19,4
108,0,1,00:13,4
107,1,0,00:10,4
106,0,1,00:06,4
