,off_pos,def_pos,time,period
39,0,1,09:43,1
38,1,0,09:38,1
37,0,1,09:26,1
36,1,0,09:12,1
35,1,0,09:03,1
34,1,0,08:49,1
33,0,1,08:28,1
32,1,0,08:21,1
31,0,1,08:10,1
30,1,0,08:07,1
29,0,1,08:06,1
28,1,0,07:48,1
27,1,0,07:25,1
26,0,1,07:11,1
25,1,0,07:06,1
24,0,1,06:46,1
23,1,0,06:40,1
22,0,1,06:20,1
21,1,0,06:02,1
20,1,0,05:36,1
19,1,0,05:33,1
18,0,1,05:16,1
17,1,0,04:53,1
16,0,1,04:28,1
15,1,0,03:53,1
14,0,1,03:37,1
13,1,0,03:15,1
12,1,0,03:10,1
11,1,0,02:58,1
10,0,1,02:37,1
9,1,0,02:24,1
8,1,0,02:20,1
7,0,1,02:02,1
6,1,0,01:52,1
5,0,1,01:30,1
4,1,0,01:09,1
3,0,1,00:51,1
2,1,0,00:34,1
1,0,1,00:19,1
0,1,0,00:01,1
70,0,1,09:33,2
69,1,0,09:20,2
68,0,1,09:00,2
67,1,0,08:44,2
66,0,1,08:37,2
65,1,0,08:09,2
64,0,1,07:47,2
63,1,0,07:31,2
62,0,1,07:11,2
61,1,0,06:42,2
60,0,1,06:30,2
59,1,0,05:58,2
58,0,1,05:44,2
57,1,0,05:34,2
56,0,1,05:22,2
55,1,0,05:02,2
54,0,1,04:32,2
53,1,0,04:23,2
52,0,1,03:56,2
51,1,0,03:47,2
50,0,1,03:43,2
49,1,0,03:20,2
48,1,0,02:23,2
47,0,1,02:14,2
46,1,0,02:11,2
45,0,1,01:42,2
44,1,0,01:34,2
43,1,0,01:20,2
42,0,1,01:03,2
41,1,0,00:44,2
40,1,0,00:27,2
105,1,0,09:39,3
104,1,0,09:14,3
103,0,1,08:57,3
102,1,0,08:38,3
101,0,1,08:15,3
100,1,0,08:06,3
99,0,1,08:04,3
98,1,0,07:50,3
97,1,0,07:47,3
96,0,1,07:27,3
95,1,0,07:16,3
94,0,1,07:09,3
93,1,0,06:51,3
92,0,1,06:17,3
91,1,0,06:15,3
90,0,1,05:41,3
89,1,0,05:31,3
88,0,1,05:16,3
87,1,0,05:13,3
86,0,1,04:51,3
85,1,0,04:31,3
84,0,1,04:02,3
83,1,0,03:46,3
82,1,0,03:21,3
81,1,0,03:00,3
80,0,1,02:53,3
79,1,0,02:32,3
78,1,0,01:37,3
77,1,0,01:34,3
76,1,0,01:13,3
75,0,1,01:00,3
74,0,1,00:57,3
73,1,0,00:40,3
72,1,0,00:30,3
71,0,1,00:01,3
141,1,0,09:37,4
140,0,1,09:08,4
139,1,0,08:40,4
138,0,1,08:27,4
137,1,0,07:57,4
136,1,0,07:39,4
135,0,1,07:14,4
134,1,0,07:08,4
133,0,1,07:03,4
132,1,0,06:59,4
131,1,0,06:55,4
130,1,0,06:47,4
129,0,1,06:36,4
128,1,0,06:28,4
127,0,1,06:14,4
126,1,0,06:00,4
125,1,0,05:46,4
124,0,1,05:44,4
123,1,0,05:43,4
122,1,0,05:05,4
121,1,0,04:30,4
120,0,1,04:11,4
119,1,0,04:00,4
118,1,0,03:27,4
117,1,0,03:07,4
116,0,1,02:41,4
115,1,0,02:25,4
114,1,0,01:49,4
113,1,0,01:24,4
112,1,0,01:13,4
111,0,1,01:09,4
110,1,0,00:57,4
109,0,1,00:39,4
108,1,0,00:27,4
107,1,0,00:21,4
106,1,0,00:15,4
