,off_pos,def_pos,time,period
38,1,0,09:41,1
37,0,1,09:02,1
36,1,0,08:28,1
35,0,1,08:23,1
34,1,0,07:52,1
33,0,1,07:44,1
32,0,1,07:28,1
31,1,0,07:16,1
30,0,1,07:12,1
29,1,0,06:57,1
28,1,0,06:52,1
27,0,1,06:44,1
26,1,0,06:25,1
25,0,1,06:14,1
24,1,0,05:54,1
23,0,1,05:41,1
22,1,0,05:20,1
21,0,1,05:07,1
20,1,0,05:02,1
19,0,1,04:48,1
18,0,1,04:45,1
17,1,0,04:15,1
16,0,1,04:00,1
15,1,0,03:55,1
14,1,0,03:43,1
13,1,0,03:23,1
12,0,1,03:19,1
11,1,0,03:02,1
10,0,1,02:47,1
9,1,0,02:34,1
8,0,1,02:21,1
7,1,0,02:06,1
6,0,1,01:51,1
5,1,0,01:45,1
4,0,1,01:16,1
3,1,0,00:54,1
2,1,0,00:51,1
1,0,1,00:28,1
0,1,0,00:09,1
71,0,1,09:39,2
70,1,0,09:23,2
69,1,0,09:22,2
68,0,1,09:14,2
67,1,0,08:51,2
66,0,1,08:41,2
65,1,0,08:27,2
64,0,1,08:11,2
63,1,0,07:59,2
62,0,1,07:40,2
61,1,0,07:09,2
60,0,1,06:44,2
59,1,0,06:23,2
58,1,0,06:17,2
57,1,0,05:58,2
56,0,1,05:46,2
55,1,0,05:28,2
54,0,1,05:03,2
53,1,0,04:36,2
52,1,0,04:22,2
51,0,1,04:11,2
50,1,0,03:55,2
49,0,1,03:49,2
48,1,0,03:15,2
47,0,1,02:50,2
46,1,0,02:15,2
45,1,0,01:57,2
44,1,0,01:28,2
43,1,0,01:25,2
42,1,0,01:21,2
41,0,1,01:16,2
40,1,0,00:48,2
39,0,1,00:24,2
106,1,0,09:47,3
105,0,1,09:45,3
104,1,0,09:35,3
103,0,1,09:13,3
102,1,0,09:11,3
101,0,1,09:02,3
100,1,0,08:35,3
99,0,1,07:55,3
98,1,0,07:40,3
97,0,1,07:11,3
96,1,0,06:38,3
95,1,0,06:37,3
94,0,1,05:56,3
93,1,0,05:47,3
92,0,1,05:28,3
91,1,0,05:03,3
90,1,0,04:33,3
89,1,0,04:03,3
88,1,0,04:02,3
87,1,0,03:40,3
86,1,0,03:25,3
85,0,1,03:21,3
84,0,1,03:08,3
83,1,0,02:51,3
82,0,1,02:29,3
81,1,0,02:20,3
80,0,1,02:09,3
79,1,0,01:57,3
78,0,1,01:38,3
77,1,0,01:21,3
76,1,0,01:20,3
75,0,1,00:55,3
74,1,0,00:28,3
73,1,0,00:24,3
72,0,1,00:02,3
144,0,1,09:34,4
143,1,0,09:16,4
142,0,1,09:10,4
141,1,0,08:52,4
140,0,1,08:38,4
139,1,0,08:27,4
138,1,0,08:07,4
137,1,0,07:51,4
136,1,0,07:32,4
135,1,0,07:25,4
134,0,1,07:12,4
133,0,1,07:11,4
132,1,0,06:53,4
131,1,0,06:32,4
130,1,0,06:15,4
129,0,1,06:00,4
128,1,0,05:27,4
127,0,1,05:13,4
126,1,0,05:10,4
125,1,0,05:08,4
124,0,1,05:03,4
123,1,0,04:29,4
122,1,0,04:25,4
121,1,0,04:14,4
120,1,0,03:58,4
119,1,0,03:31,4
118,1,0,03:19,4
117,1,0,03:10,4
116,0,1,02:38,4
115,1,0,02:20,4
114,0,1,02:13,4
113,1,0,01:51,4
112,0,1,01:26,4
111,1,0,01:23,4
110,0,1,01:10,4
109,1,0,00:50,4
108,0,1,00:23,4
107,1,0,00:09,4
