,off_pos,def_pos,time,period
39,1,0,09:31,1
38,0,1,09:13,1
37,1,0,09:05,1
36,0,1,08:44,1
35,1,0,08:32,1
34,1,0,08:20,1
33,0,1,08:12,1
32,1,0,07:53,1
31,0,1,07:46,1
30,1,0,07:41,1
29,0,1,07:32,1
28,1,0,07:19,1
27,0,1,06:57,1
26,1,0,06:41,1
25,1,0,06:39,1
24,0,1,06:15,1
23,1,0,05:54,1
22,0,1,05:48,1
21,1,0,05:29,1
20,0,1,05:26,1
19,0,1,05:24,1
18,1,0,05:14,1
17,0,1,04:59,1
16,1,0,04:33,1
15,0,1,04:15,1
14,1,0,04:03,1
13,0,1,03:37,1
12,1,0,03:19,1
11,1,0,03:05,1
10,0,1,03:01,1
9,1,0,02:52,1
8,1,0,02:33,1
7,1,0,02:12,1
6,0,1,02:00,1
5,1,0,01:44,1
4,0,1,01:22,1
3,1,0,01:15,1
2,1,0,01:00,1
1,1,0,00:32,1
0,0,1,00:02,1
76,0,1,09:51,2
75,1,0,09:18,2
74,0,1,08:59,2
73,1,0,08:43,2
72,1,0,08:22,2
71,1,0,08:16,2
70,0,1,07:55,2
69,1,0,07:35,2
68,0,1,07:22,2
67,1,0,07:05,2
66,0,1,07:01,2
65,1,0,06:51,2
64,1,0,06:21,2
63,1,0,06:15,2
62,0,1,06:08,2
61,1,0,05:49,2
60,0,1,05:38,2
59,1,0,05:18,2
58,0,1,05:08,2
57,1,0,04:47,2
56,0,1,04:32,2
55,1,0,04:25,2
54,1,0,03:58,2
53,1,0,03:19,2
52,1,0,03:16,2
51,0,1,03:03,2
50,1,0,02:45,2
49,0,1,02:21,2
48,0,1,02:18,2
47,1,0,01:57,2
46,0,1,01:45,2
45,1,0,01:30,2
44,1,0,01:24,2
43,1,0,01:04,2
42,1,0,00:40,2
41,0,1,00:30,2
40,1,0,00:02,2
117,0,1,09:53,3
116,1,0,09:31,3
115,1,0,09:21,3
114,1,0,08:57,3
113,1,0,08:55,3
112,0,1,08:41,3
111,1,0,08:14,3
110,0,1,08:09,3
109,1,0,07:57,3
108,0,1,07:31,3
107,1,0,07:04,3
106,0,1,06:58,3
105,1,0,06:40,3
104,0,1,06:14,3
103,1,0,06:07,3
102,0,1,05:44,3
101,1,0,05:24,3
100,1,0,05:20,3
99,0,1,05:13,3
98,1,0,04:57,3
97,0,1,04:42,3
96,1,0,04:28,3
95,1,0,04:22,3
94,1,0,04:06,3
93,0,1,03:55,3
92,1,0,03:39,3
91,0,1,03:31,3
90,1,0,03:03,3
89,1,0,02:49,3
88,0,1,02:32,3
87,1,0,02:22,3
86,0,1,02:08,3
85,1,0,01:54,3
84,1,0,01:49,3
83,0,1,01:32,3
82,1,0,01:23,3
81,0,1,01:19,3
80,1,0,01:03,3
79,0,1,00:47,3
78,0,1,00:30,3
77,1,0,00:03,3
151,1,0,09:47,4
150,0,1,09:34,4
149,1,0,09:08,4
148,0,1,08:51,4
147,1,0,08:19,4
146,0,1,08:08,4
145,1,0,07:40,4
144,0,1,07:32,4
143,1,0,07:09,4
142,0,1,06:58,4
141,1,0,06:39,4
140,0,1,06:28,4
139,1,0,06:10,4
138,0,1,05:55,4
137,1,0,05:23,4
136,0,1,05:09,4
135,1,0,04:44,4
134,0,1,04:35,4
133,1,0,04:11,4
132,0,1,04:06,4
131,1,0,03:40,4
130,0,1,03:29,4
129,1,0,03:12,4
128,0,1,02:53,4
127,1,0,02:24,4
126,0,1,02:16,4
125,1,0,01:51,4
124,0,1,01:37,4
123,1,0,01:36,4
122,1,0,01:15,4
121,1,0,01:07,4
120,1,0,00:52,4
119,1,0,00:18,4
118,0,1,00:14,4
