,off_pos,def_pos,time,period
35,0,1,09:52,1
34,1,0,09:42,1
33,0,1,09:33,1
32,1,0,09:14,1
31,1,0,08:48,1
30,1,0,08:21,1
29,0,1,08:16,1
28,1,0,07:51,1
27,0,1,07:40,1
26,1,0,07:15,1
25,0,1,06:55,1
24,1,0,06:24,1
23,0,1,05:59,1
22,1,0,05:51,1
21,0,1,05:31,1
20,1,0,05:19,1
19,0,1,05:07,1
18,1,0,04:51,1
17,0,1,04:41,1
16,1,0,04:30,1
15,0,1,04:14,1
14,1,0,03:39,1
13,0,1,03:26,1
12,1,0,03:14,1
11,0,1,02:48,1
10,1,0,02:45,1
9,0,1,02:24,1
8,1,0,02:13,1
7,0,1,02:02,1
6,1,0,01:40,1
5,0,1,01:32,1
4,1,0,01:10,1
3,0,1,00:53,1
2,1,0,00:31,1
1,0,1,00:09,1
0,1,0,00:02,1
73,1,0,09:51,2
72,0,1,09:40,2
71,1,0,09:21,2
70,1,0,09:06,2
69,0,1,08:45,2
68,0,1,08:30,2
67,1,0,08:20,2
66,0,1,08:01,2
65,1,0,07:40,2
64,0,1,07:28,2
63,1,0,07:22,2
62,1,0,07:21,2
61,1,0,06:42,2
60,1,0,06:23,2
59,1,0,06:03,2
58,0,1,05:53,2
57,1,0,05:40,2
56,0,1,05:19,2
55,1,0,04:53,2
54,0,1,04:35,2
53,1,0,04:07,2
52,0,1,03:57,2
51,0,1,03:51,2
50,1,0,03:35,2
49,1,0,03:16,2
48,0,1,03:05,2
47,0,1,02:51,2
46,1,0,02:20,2
45,0,1,02:12,2
44,1,0,02:07,2
43,0,1,01:53,2
42,1,0,01:39,2
41,0,1,01:15,2
40,1,0,01:04,2
39,1,0,01:02,2
38,0,1,00:45,2
37,1,0,00:34,2
36,0,1,00:03,2
109,1,0,09:32,3
108,1,0,09:20,3
107,0,1,08:54,3
106,1,0,08:37,3
105,0,1,08:16,3
104,1,0,07:53,3
103,0,1,07:33,3
102,1,0,07:21,3
101,0,1,07:03,3
100,1,0,06:56,3
99,0,1,06:51,3
98,1,0,06:32,3
97,0,1,06:06,3
96,0,1,06:01,3
95,1,0,05:48,3
94,0,1,05:29,3
93,1,0,05:10,3
92,0,1,05:00,3
91,1,0,04:46,3
90,1,0,04:38,3
89,1,0,04:34,3
88,0,1,04:12,3
87,1,0,03:54,3
86,0,1,03:39,3
85,1,0,03:17,3
84,0,1,03:02,3
83,1,0,02:47,3
82,0,1,02:29,3
81,1,0,02:16,3
80,1,0,01:59,3
79,1,0,01:32,3
78,1,0,01:27,3
77,0,1,01:00,3
76,1,0,00:46,3
75,1,0,00:26,3
74,0,1,00:00,3
153,1,0,09:39,4
152,0,1,09:16,4
151,1,0,09:00,4
150,0,1,08:40,4
149,1,0,08:11,4
148,1,0,08:07,4
147,1,0,07:46,4
146,0,1,07:36,4
145,0,1,07:23,4
144,1,0,07:19,4
143,0,1,07:06,4
142,1,0,06:52,4
141,1,0,06:38,4
140,1,0,06:12,4
139,0,1,06:11,4
138,1,0,05:53,4
137,0,1,05:42,4
136,1,0,05:28,4
135,0,1,05:09,4
134,1,0,04:52,4
133,1,0,04:44,4
132,0,1,04:39,4
131,1,0,04:27,4
130,1,0,04:24,4
129,0,1,04:19,4
128,1,0,04:14,4
127,0,1,04:12,4
126,1,0,04:01,4
125,1,0,03:48,4
124,1,0,03:24,4
123,0,1,03:08,4
122,1,0,02:57,4
121,0,1,02:42,4
120,1,0,02:16,4
119,1,0,02:11,4
118,1,0,02:07,4
117,0,1,01:43,4
116,1,0,01:26,4
115,0,1,01:10,4
114,1,0,01:06,4
113,1,0,01:01,4
112,0,1,00:50,4
111,1,0,00:29,4
110,0,1,00:11,4
