,off_pos,def_pos,time,period
29,0,1,09:36,1
28,1,0,08:55,1
27,0,1,08:34,1
26,1,0,08:22,1
25,0,1,07:46,1
24,1,0,07:36,1
23,0,1,07:07,1
22,1,0,07:01,1
21,0,1,06:46,1
20,1,0,06:40,1
19,0,1,06:02,1
18,1,0,05:52,1
17,1,0,05:36,1
16,1,0,05:29,1
15,1,0,05:04,1
14,1,0,04:40,1
13,1,0,04:26,1
12,0,1,04:05,1
11,1,0,03:49,1
10,0,1,03:20,1
9,1,0,03:07,1
8,0,1,02:44,1
7,1,0,02:38,1
6,0,1,02:27,1
5,1,0,01:54,1
4,0,1,01:48,1
3,1,0,01:23,1
2,0,1,00:53,1
1,1,0,00:38,1
0,0,1,00:05,1
70,1,0,09:21,2
69,1,0,09:20,2
68,0,1,09:00,2
67,1,0,08:56,2
66,1,0,08:51,2
65,0,1,08:35,2
64,1,0,08:24,2
63,1,0,07:57,2
62,1,0,07:47,2
61,0,1,07:29,2
60,0,1,07:06,2
59,1,0,07:05,2
58,0,1,06:55,2
57,1,0,06:42,2
56,0,1,06:14,2
55,1,0,06:03,2
54,0,1,05:38,2
53,0,1,05:31,2
52,1,0,05:25,2
51,0,1,05:12,2
50,1,0,05:06,2
49,1,0,04:51,2
48,1,0,04:24,2
47,0,1,03:56,2
46,1,0,03:52,2
45,1,0,03:49,2
44,1,0,03:47,2
43,1,0,03:33,2
42,1,0,03:20,2
41,1,0,03:17,2
40,0,1,02:54,2
39,1,0,02:34,2
38,1,0,02:31,2
37,1,0,02:28,2
36,0,1,02:08,2
35,1,0,01:50,2
34,1,0,01:43,2
33,1,0,01:18,2
32,0,1,01:00,2
31,1,0,00:42,2
30,0,1,00:14,2
107,0,1,09:56,3
106,1,0,09:33,3
105,0,1,09:10,3
104,1,0,08:46,3
103,0,1,08:17,3
102,1,0,07:59,3
101,0,1,07:56,3
100,1,0,07:45,3
99,0,1,07:20,3
98,1,0,06:53,3
97,0,1,06:41,3
96,1,0,06:30,3
95,1,0,06:07,3
94,1,0,05:46,3
93,1,0,05:43,3
92,0,1,05:29,3
91,1,0,05:25,3
90,0,1,04:58,3
89,1,0,04:37,3
88,1,0,04:35,3
87,0,1,04:14,3
86,1,0,04:11,3
85,0,1,04:00,3
84,1,0,03:42,3
83,0,1,03:20,3
82,1,0,03:01,3
81,1,0,02:47,3
80,0,1,02:32,3
79,1,0,02:26,3
78,1,0,02:20,3
77,1,0,02:12,3
76,0,1,02:06,3
75,1,0,01:44,3
74,0,1,01:34,3
73,1,0,01:08,3
72,0,1,00:31,3
71,1,0,00:04,3
150,1,0,09:49,4
149,0,1,09:26,4
148,1,0,08:58,4
147,0,1,08:34,4
146,1,0,08:20,4
145,1,0,08:08,4
144,1,0,07:49,4
143,1,0,07:41,4
142,0,1,07:21,4
141,1,0,07:05,4
140,0,1,06:55,4
139,1,0,06:23,4
138,1,0,06:13,4
137,1,0,06:11,4
136,0,1,05:56,4
135,1,0,05:41,4
134,0,1,05:22,4
133,1,0,05:08,4
132,0,1,04:48,4
131,1,0,04:38,4
130,1,0,04:27,4
129,0,1,04:09,4
128,1,0,03:55,4
127,0,1,03:39,4
126,1,0,03:24,4
125,1,0,03:10,4
124,1,0,03:00,4
123,1,0,02:51,4
122,1,0,02:26,4
121,1,0,02:08,4
120,0,1,02:01,4
119,1,0,01:21,4
118,0,1,00:57,4
117,0,1,00:52,4
116,1,0,00:51,4
115,0,1,00:39,4
114,0,1,00:37,4
113,1,0,00:31,4
112,0,1,00:26,4
111,1,0,00:17,4
110,0,1,00:12,4
109,1,0,00:07,4
108,0,1,00:01,4
