,off_pos,def_pos,time,period
35,1,0,09:43,1
34,0,1,09:24,1
33,1,0,09:14,1
32,0,1,08:48,1
31,1,0,08:42,1
30,1,0,08:22,1
29,0,1,07:55,1
28,1,0,07:47,1
27,1,0,07:45,1
26,0,1,07:21,1
25,1,0,06:57,1
24,0,1,06:34,1
23,1,0,06:30,1
22,1,0,06:27,1
21,1,0,06:14,1
20,0,1,05:47,1
19,1,0,05:19,1
18,0,1,05:04,1
17,1,0,04:47,1
16,1,0,04:29,1
15,0,1,03:57,1
14,1,0,03:49,1
13,1,0,03:17,1
12,1,0,03:05,1
11,0,1,02:37,1
10,1,0,02:26,1
9,0,1,01:58,1
8,1,0,01:54,1
7,0,1,01:40,1
6,1,0,01:18,1
5,1,0,01:06,1
4,1,0,01:04,1
3,0,1,00:51,1
2,1,0,00:36,1
1,0,1,00:31,1
0,1,0,00:19,1
78,1,0,09:47,2
77,0,1,09:36,2
76,1,0,09:16,2
75,1,0,09:01,2
74,1,0,08:54,2
73,0,1,08:35,2
72,1,0,08:19,2
71,1,0,08:13,2
70,0,1,08:00,2
69,0,1,07:53,2
68,1,0,07:49,2
67,0,1,07:40,2
66,1,0,07:27,2
65,0,1,07:09,2
64,0,1,07:05,2
63,1,0,06:52,2
62,0,1,06:38,2
61,1,0,06:11,2
60,1,0,05:52,2
59,0,1,05:37,2
58,1,0,05:15,2
57,0,1,04:49,2
56,1,0,04:40,2
55,0,1,04:21,2
54,1,0,04:15,2
53,1,0,04:12,2
52,0,1,03:53,2
51,1,0,03:20,2
50,0,1,02:57,2
49,1,0,02:54,2
48,0,1,02:48,2
47,1,0,02:46,2
46,0,1,02:16,2
45,1,0,02:02,2
44,1,0,01:42,2
43,1,0,01:33,2
42,0,1,01:19,2
41,1,0,01:16,2
40,0,1,01:07,2
39,1,0,00:58,2
38,0,1,00:40,2
37,1,0,00:19,2
36,0,1,00:01,2
118,0,1,09:45,3
117,1,0,09:39,3
116,0,1,09:25,3
115,1,0,09:02,3
114,0,1,08:47,3
113,1,0,08:38,3
112,0,1,08:12,3
111,1,0,07:53,3
110,0,1,07:35,3
109,1,0,07:25,3
108,1,0,07:21,3
107,0,1,06:59,3
106,1,0,06:38,3
105,0,1,06:21,3
104,1,0,06:03,3
103,1,0,05:46,3
102,1,0,05:38,3
101,1,0,05:32,3
100,0,1,05:06,3
99,1,0,04:53,3
98,0,1,04:30,3
97,1,0,04:27,3
96,1,0,04:25,3
95,1,0,04:11,3
94,0,1,03:34,3
93,1,0,03:33,3
92,1,0,03:20,3
91,0,1,03:07,3
90,1,0,02:46,3
89,0,1,02:30,3
88,1,0,02:13,3
87,0,1,01:55,3
86,1,0,01:45,3
85,1,0,01:30,3
84,1,0,01:21,3
83,0,1,00:56,3
82,1,0,00:47,3
81,1,0,00:41,3
80,1,0,00:22,3
79,1,0,00:02,3
161,0,1,09:37,4
160,1,0,09:29,4
159,1,0,09:27,4
158,1,0,09:03,4
157,0,1,08:43,4
156,1,0,08:32,4
155,0,1,08:17,4
154,1,0,08:00,4
153,1,0,07:57,4
152,1,0,07:54,4
151,1,0,07:31,4
150,1,0,07:07,4
149,0,1,06:45,4
148,1,0,06:34,4
147,0,1,05:45,4
146,1,0,05:41,4
145,1,0,05:36,4
144,0,1,05:32,4
143,1,0,05:21,4
142,0,1,05:02,4
141,1,0,04:47,4
140,0,1,04:39,4
139,1,0,04:12,4
138,0,1,03:52,4
137,1,0,03:23,4
136,0,1,03:15,4
135,1,0,03:07,4
134,0,1,02:42,4
133,1,0,02:30,4
132,0,1,02:23,4
131,1,0,02:08,4
130,1,0,01:52,4
129,1,0,01:43,4
128,0,1,01:37,4
127,1,0,01:16,4
126,1,0,01:00,4
125,0,1,00:54,4
124,1,0,00:51,4
123,0,1,00:47,4
122,1,0,00:43,4
121,0,1,00:40,4
120,0,1,00:37,4
119,1,0,00:15,4
