,off_pos,def_pos,time,period
37,0,1,09:48,1
36,1,0,09:31,1
35,0,1,09:11,1
34,1,0,08:57,1
33,0,1,08:35,1
32,1,0,08:19,1
31,1,0,07:51,1
30,0,1,07:32,1
29,1,0,07:15,1
28,1,0,06:33,1
27,1,0,06:32,1
26,1,0,06:20,1
25,0,1,06:16,1
24,1,0,06:07,1
23,1,0,05:55,1
22,0,1,05:36,1
21,1,0,05:23,1
20,1,0,05:22,1
19,1,0,04:59,1
18,1,0,04:58,1
17,1,0,04:41,1
16,0,1,04:27,1
15,1,0,04:18,1
14,0,1,04:03,1
13,1,0,03:54,1
12,0,1,03:39,1
11,1,0,03:30,1
10,1,0,03:29,1
9,0,1,03:04,1
8,1,0,02:48,1
7,0,1,02:25,1
6,1,0,02:08,1
5,0,1,01:45,1
4,1,0,01:30,1
3,0,1,01:25,1
2,1,0,01:18,1
1,0,1,00:33,1
0,1,0,00:00,1
69,1,0,09:47,2
68,0,1,09:36,2
67,1,0,09:22,2
66,0,1,08:47,2
65,1,0,08:28,2
64,1,0,08:10,2
63,0,1,07:50,2
62,1,0,07:29,2
61,1,0,06:31,2
60,0,1,06:22,2
59,1,0,06:10,2
58,1,0,05:44,2
57,0,1,05:10,2
56,1,0,05:03,2
55,0,1,04:43,2
54,1,0,04:22,2
53,0,1,03:50,2
52,1,0,03:34,2
51,0,1,03:06,2
50,0,1,03:02,2
49,1,0,02:48,2
48,1,0,02:32,2
47,0,1,02:03,2
46,1,0,01:48,2
45,1,0,01:46,2
44,1,0,01:44,2
43,0,1,01:26,2
42,1,0,00:51,2
41,0,1,00:50,2
40,1,0,00:15,2
39,1,0,00:09,2
38,0,1,00:07,2
100,0,1,09:45,3
99,1,0,09:26,3
98,0,1,09:08,3
97,1,0,08:48,3
96,1,0,08:21,3
95,1,0,08:05,3
94,0,1,07:22,3
93,1,0,07:02,3
92,0,1,06:45,3
91,1,0,06:31,3
90,1,0,06:29,3
89,0,1,06:20,3
88,1,0,06:10,3
87,0,1,05:38,3
86,1,0,05:11,3
85,0,1,05:03,3
84,1,0,04:47,3
83,1,0,04:26,3
82,0,1,04:06,3
81,1,0,03:46,3
80,1,0,03:28,3
79,1,0,03:06,3
78,0,1,02:43,3
77,1,0,02:26,3
76,0,1,02:03,3
75,1,0,01:43,3
74,0,1,01:23,3
73,1,0,00:54,3
72,1,0,00:36,3
71,1,0,00:24,3
70,0,1,00:04,3
138,0,1,09:40,4
137,1,0,09:23,4
136,0,1,08:58,4
135,1,0,08:40,4
134,0,1,08:19,4
133,1,0,08:14,4
132,0,1,07:47,4
131,1,0,07:15,4
130,0,1,06:59,4
129,1,0,06:43,4
128,0,1,06:26,4
127,1,0,06:01,4
126,0,1,05:48,4
125,1,0,05:43,4
124,0,1,05:42,4
123,1,0,05:19,4
122,0,1,05:13,4
121,1,0,05:01,4
120,1,0,04:26,4
119,0,1,03:49,4
118,1,0,03:29,4
117,1,0,03:27,4
116,0,1,03:08,4
115,1,0,02:59,4
114,1,0,02:45,4
113,1,0,02:23,4
112,1,0,01:53,4
111,1,0,01:34,4
110,0,1,01:01,4
109,1,0,00:56,4
108,0,1,00:54,4
107,1,0,00:47,4
106,1,0,00:45,4
105,1,0,00:36,4
104,1,0,00:26,4
103,1,0,00:09,4
102,1,0,00:07,4
101,1,0,00:04,4
153,1,0,04:35,5
152,1,0,04:03,5
151,1,0,03:53,5
150,0,1,03:33,5
149,1,0,03:03,5
148,0,1,02:40,5
147,1,0,02:16,5
146,0,1,02:04,5
145,0,1,02:01,5
144,1,0,01:55,5
143,0,1,01:26,5
142,1,0,01:06,5
141,0,1,00:36,5
140,1,0,00:09,5
139,0,1,00:01,5
