,off_pos,def_pos,time,period
41,0,1,09:48,1
40,1,0,09:21,1
39,0,1,09:05,1
38,1,0,08:56,1
37,0,1,08:39,1
36,1,0,08:12,1
35,0,1,08:07,1
34,1,0,08:00,1
33,0,1,07:51,1
32,1,0,07:36,1
31,0,1,07:14,1
30,1,0,07:00,1
29,1,0,06:59,1
28,0,1,06:45,1
27,1,0,06:37,1
26,1,0,06:33,1
25,0,1,06:14,1
24,1,0,06:06,1
23,0,1,05:51,1
22,1,0,05:42,1
21,0,1,05:27,1
20,1,0,05:21,1
19,0,1,04:49,1
18,1,0,04:32,1
17,0,1,04:15,1
16,1,0,04:13,1
15,1,0,04:12,1
14,0,1,03:42,1
13,1,0,03:22,1
12,1,0,03:12,1
11,1,0,02:43,1
10,0,1,02:28,1
9,1,0,02:11,1
8,0,1,02:00,1
7,1,0,01:50,1
6,0,1,01:36,1
5,1,0,01:05,1
4,1,0,01:03,1
3,1,0,00:36,1
2,1,0,00:26,1
1,1,0,00:08,1
0,0,1,00:07,1
77,1,0,09:30,2
76,0,1,09:15,2
75,1,0,08:44,2
74,0,1,08:33,2
73,1,0,08:25,2
72,1,0,08:01,2
71,1,0,07:42,2
70,0,1,07:21,2
69,1,0,07:06,2
68,0,1,06:52,2
67,1,0,06:45,2
66,1,0,06:22,2
65,1,0,06:00,2
64,1,0,05:45,2
63,0,1,05:27,2
62,1,0,05:12,2
61,0,1,04:52,2
60,1,0,04:39,2
59,0,1,04:26,2
58,1,0,04:17,2
57,0,1,03:58,2
56,1,0,03:34,2
55,1,0,03:25,2
54,0,1,03:02,2
53,1,0,02:51,2
52,0,1,02:35,2
51,1,0,02:21,2
50,0,1,02:03,2
49,1,0,01:52,2
48,1,0,01:37,2
47,0,1,01:19,2
46,1,0,01:04,2
45,0,1,00:58,2
44,1,0,00:33,2
43,1,0,00:27,2
42,0,1,00:02,2
124,1,0,09:46,3
123,0,1,09:37,3
122,0,1,09:13,3
121,1,0,08:59,3
120,0,1,08:47,3
119,1,0,08:28,3
118,0,1,08:08,3
117,1,0,07:55,3
116,1,0,07:39,3
115,1,0,07:23,3
114,1,0,07:12,3
113,1,0,07:03,3
112,1,0,06:54,3
111,0,1,06:40,3
110,1,0,06:37,3
109,0,1,06:34,3
108,1,0,06:30,3
107,1,0,06:16,3
106,1,0,06:15,3
105,1,0,06:00,3
104,1,0,05:40,3
103,1,0,05:21,3
102,0,1,05:12,3
101,1,0,05:05,3
100,0,1,04:56,3
99,1,0,04:48,3
98,1,0,04:46,3
97,0,1,04:29,3
96,1,0,04:18,3
95,1,0,03:42,3
94,1,0,03:37,3
93,1,0,03:23,3
92,1,0,03:18,3
91,1,0,03:13,3
90,1,0,02:55,3
89,1,0,02:40,3
88,1,0,02:22,3
87,0,1,02:09,3
86,1,0,01:53,3
85,1,0,01:34,3
84,0,1,01:16,3
83,1,0,00:57,3
82,0,1,00:48,3
81,1,0,00:36,3
80,0,1,00:21,3
79,1,0,00:17,3
78,0,1,00:03,3
160,1,0,09:46,4
159,1,0,09:25,4
158,1,0,08:42,4
157,0,1,08:38,4
156,1,0,08:31,4
155,1,0,08:28,4
154,1,0,08:22,4
153,0,1,08:05,4
152,1,0,07:29,4
151,0,1,06:56,4
150,1,0,06:45,4
149,0,1,06:42,4
148,1,0,06:38,4
147,1,0,06:26,4
146,1,0,06:18,4
145,0,1,05:53,4
144,1,0,05:51,4
143,1,0,05:34,4
142,0,1,05:14,4
141,1,0,04:52,4
140,1,0,04:48,4
139,0,1,04:34,4
138,1,0,04:32,4
137,1,0,04:20,4
136,1,0,04:14,4
135,1,0,03:44,4
134,1,0,03:14,4
133,0,1,02:59,4
132,1,0,02:33,4
131,1,0,02:18,4
130,1,0,01:51,4
129,1,0,01:36,4
128,1,0,01:01,4
127,0,1,00:35,4
126,1,0,00:06,4
125,0,1,00:02,4
