,off_pos,def_pos,time,period
39,0,1,09:45,1
38,1,0,09:16,1
37,0,1,09:15,1
36,1,0,09:06,1
35,0,1,08:54,1
34,1,0,08:34,1
33,0,1,08:15,1
32,1,0,08:04,1
31,1,0,07:50,1
30,0,1,07:42,1
29,1,0,07:27,1
28,0,1,07:15,1
27,1,0,06:50,1
26,0,1,06:37,1
25,1,0,06:20,1
24,0,1,06:07,1
23,1,0,06:01,1
22,0,1,05:58,1
21,1,0,05:43,1
20,0,1,05:30,1
19,1,0,05:14,1
18,0,1,04:58,1
17,1,0,04:35,1
16,0,1,04:12,1
15,1,0,04:02,1
14,0,1,03:24,1
13,1,0,02:58,1
12,1,0,02:53,1
11,0,1,02:45,1
10,1,0,02:26,1
9,1,0,02:09,1
8,0,1,02:07,1
7,1,0,01:47,1
6,1,0,01:45,1
5,0,1,01:25,1
4,1,0,00:55,1
3,0,1,00:45,1
2,1,0,00:38,1
1,0,1,00:19,1
0,1,0,00:02,1
80,1,0,09:38,2
79,0,1,09:09,2
78,1,0,08:39,2
77,0,1,08:25,2
76,1,0,08:02,2
75,1,0,07:26,2
74,1,0,07:16,2
73,1,0,07:03,2
72,1,0,07:01,2
71,0,1,06:42,2
70,1,0,06:22,2
69,0,1,06:05,2
68,1,0,05:57,2
67,0,1,05:40,2
66,1,0,05:31,2
65,0,1,05:18,2
64,1,0,05:07,2
63,0,1,04:41,2
62,0,1,04:16,2
61,0,1,04:13,2
60,1,0,04:04,2
59,0,1,03:54,2
58,1,0,03:40,2
57,1,0,03:35,2
56,0,1,03:27,2
55,1,0,03:24,2
54,0,1,03:14,2
53,1,0,02:58,2
52,0,1,02:28,2
51,1,0,02:23,2
50,1,0,02:14,2
49,1,0,01:53,2
48,1,0,01:38,2
47,0,1,01:28,2
46,1,0,01:17,2
45,1,0,01:00,2
44,1,0,00:46,2
43,0,1,00:40,2
42,1,0,00:32,2
41,1,0,00:10,2
40,0,1,00:00,2
125,0,1,09:44,3
124,1,0,09:22,3
123,0,1,09:00,3
122,1,0,08:39,3
121,0,1,08:29,3
120,1,0,08:15,3
119,1,0,08:03,3
118,1,0,08:00,3
117,0,1,07:48,3
116,1,0,07:20,3
115,0,1,07:00,3
114,1,0,06:40,3
113,1,0,06:30,3
112,1,0,06:19,3
111,1,0,06:10,3
110,0,1,05:58,3
109,0,1,05:41,3
108,1,0,05:37,3
107,0,1,05:33,3
106,1,0,05:30,3
105,0,1,05:20,3
104,1,0,05:18,3
103,0,1,05:07,3
102,1,0,04:58,3
101,0,1,04:50,3
100,1,0,04:40,3
99,1,0,04:18,3
98,1,0,03:57,3
97,1,0,03:43,3
96,0,1,03:26,3
95,1,0,03:23,3
94,0,1,03:17,3
93,1,0,03:13,3
92,1,0,02:54,3
91,1,0,02:30,3
90,1,0,02:28,3
89,0,1,02:09,3
88,1,0,01:46,3
87,1,0,01:22,3
86,1,0,01:03,3
85,0,1,00:48,3
84,1,0,00:47,3
83,0,1,00:28,3
82,1,0,00:05,3
81,1,0,00:04,3
171,0,1,09:36,4
170,1,0,09:18,4
169,1,0,08:56,4
168,0,1,08:50,4
167,1,0,08:32,4
166,1,0,08:19,4
165,1,0,08:08,4
164,0,1,07:50,4
163,1,0,07:46,4
162,1,0,07:24,4
161,0,1,07:19,4
160,1,0,07:05,4
159,0,1,06:47,4
158,1,0,06:36,4
157,1,0,06:22,4
156,1,0,05:58,4
155,0,1,05:49,4
154,0,1,05:43,4
153,1,0,05:13,4
152,0,1,05:10,4
151,1,0,04:59,4
150,1,0,04:53,4
149,1,0,04:43,4
148,0,1,04:40,4
147,1,0,04:08,4
146,1,0,03:45,4
145,1,0,03:30,4
144,1,0,03:23,4
143,0,1,03:22,4
142,1,0,03:20,4
141,0,1,03:14,4
140,0,1,02:57,4
139,1,0,02:47,4
138,0,1,02:43,4
137,1,0,02:32,4
136,0,1,02:23,4
135,1,0,02:17,4
134,0,1,02:14,4
133,1,0,01:57,4
132,1,0,01:49,4
131,1,0,01:44,4
130,0,1,01:35,4
129,1,0,01:04,4
128,0,1,00:54,4
127,1,0,00:26,4
126,0,1,00:07,4
