,off_pos,def_pos,time,period
34,1,0,09:36,1
33,0,1,09:22,1
32,1,0,08:54,1
31,0,1,08:30,1
30,1,0,08:09,1
29,0,1,07:45,1
28,1,0,07:35,1
27,0,1,07:10,1
26,1,0,07:00,1
25,0,1,06:44,1
24,1,0,06:37,1
23,0,1,06:04,1
22,0,1,05:57,1
21,1,0,05:53,1
20,0,1,05:37,1
19,1,0,05:24,1
18,1,0,05:08,1
17,0,1,05:06,1
16,1,0,04:56,1
15,0,1,04:32,1
14,1,0,04:06,1
13,0,1,03:53,1
12,1,0,03:31,1
11,0,1,03:20,1
10,1,0,02:57,1
9,0,1,02:36,1
8,1,0,02:22,1
7,1,0,02:00,1
6,0,1,01:51,1
5,0,1,01:28,1
4,1,0,01:23,1
3,1,0,01:07,1
2,1,0,00:44,1
1,0,1,00:31,1
0,1,0,00:01,1
70,0,1,09:45,2
69,1,0,09:25,2
68,0,1,09:12,2
67,1,0,09:02,2
66,1,0,08:48,2
65,0,1,08:40,2
64,1,0,08:24,2
63,1,0,08:13,2
62,0,1,07:49,2
61,1,0,07:42,2
60,0,1,07:22,2
59,1,0,07:04,2
58,1,0,06:31,2
57,0,1,06:15,2
56,1,0,06:00,2
55,0,1,05:39,2
54,1,0,05:32,2
53,0,1,05:19,2
52,0,1,05:06,2
51,1,0,04:47,2
50,0,1,04:24,2
49,1,0,04:16,2
48,0,1,03:57,2
47,1,0,03:27,2
46,0,1,03:05,2
45,1,0,02:37,2
44,0,1,02:12,2
43,1,0,01:51,2
42,1,0,01:45,2
41,1,0,01:44,2
40,0,1,01:31,2
39,1,0,01:12,2
38,0,1,01:05,2
37,1,0,00:50,2
36,0,1,00:30,2
35,1,0,00:06,2
110,1,0,09:49,3
109,0,1,09:27,3
108,1,0,09:17,3
107,0,1,08:58,3
106,1,0,08:25,3
105,1,0,08:18,3
104,1,0,07:56,3
103,1,0,07:42,3
102,0,1,07:39,3
101,1,0,07:34,3
100,0,1,07:23,3
99,1,0,07:13,3
98,0,1,06:50,3
97,1,0,06:40,3
96,0,1,06:27,3
95,1,0,06:16,3
94,0,1,06:05,3
93,0,1,05:58,3
92,1,0,05:55,3
91,0,1,05:42,3
90,1,0,05:17,3
89,0,1,04:49,3
88,1,0,04:31,3
87,0,1,04:22,3
86,1,0,03:56,3
85,0,1,03:45,3
84,1,0,03:26,3
83,0,1,03:04,3
82,1,0,02:48,3
81,0,1,02:42,3
80,1,0,02:24,3
79,0,1,02:04,3
78,1,0,01:40,3
77,1,0,01:26,3
76,1,0,01:17,3
75,0,1,01:05,3
74,1,0,00:49,3
73,0,1,00:32,3
72,1,0,00:08,3
71,0,1,00:01,3
148,1,0,09:35,4
147,0,1,09:20,4
146,1,0,09:15,4
145,0,1,08:42,4
144,1,0,08:11,4
143,1,0,08:08,4
142,0,1,07:56,4
141,1,0,07:46,4
140,0,1,07:27,4
139,1,0,07:20,4
138,1,0,07:05,4
137,0,1,06:45,4
136,1,0,06:23,4
135,1,0,06:02,4
134,1,0,05:50,4
133,1,0,05:48,4
132,1,0,05:19,4
131,1,0,05:02,4
130,0,1,04:43,4
129,1,0,04:19,4
128,0,1,04:02,4
127,1,0,03:48,4
126,1,0,03:47,4
125,1,0,03:34,4
124,0,1,03:15,4
123,1,0,03:08,4
122,1,0,03:05,4
121,0,1,02:47,4
120,1,0,02:43,4
119,1,0,02:17,4
118,1,0,02:14,4
117,0,1,02:08,4
116,1,0,01:47,4
115,1,0,01:28,4
114,1,0,01:13,4
113,0,1,00:41,4
112,1,0,00:18,4
111,1,0,00:08,4
