,off_pos,def_pos,time,period
39,0,1,09:51,1
38,1,0,09:50,1
37,1,0,09:30,1
36,0,1,09:16,1
35,1,0,08:50,1
34,1,0,08:46,1
33,0,1,08:31,1
32,1,0,08:05,1
31,0,1,07:56,1
30,1,0,07:41,1
29,0,1,07:32,1
28,1,0,07:16,1
27,0,1,06:57,1
26,1,0,06:37,1
25,0,1,06:24,1
24,1,0,05:52,1
23,0,1,05:37,1
22,1,0,05:23,1
21,0,1,05:02,1
20,1,0,04:56,1
19,0,1,04:39,1
18,1,0,04:08,1
17,1,0,04:04,1
16,0,1,03:39,1
15,1,0,03:13,1
14,1,0,03:01,1
13,1,0,02:54,1
12,1,0,02:40,1
11,0,1,02:28,1
10,1,0,02:17,1
9,0,1,02:05,1
8,1,0,01:54,1
7,0,1,01:44,1
6,1,0,01:30,1
5,0,1,01:12,1
4,1,0,01:05,1
3,0,1,00:50,1
2,1,0,00:35,1
1,0,1,00:06,1
0,1,0,00:00,1
74,0,1,09:50,2
73,1,0,09:22,2
72,0,1,09:12,2
71,1,0,09:03,2
70,0,1,08:34,2
69,1,0,08:25,2
68,1,0,08:10,2
67,0,1,08:01,2
66,1,0,07:39,2
65,0,1,07:16,2
64,1,0,06:59,2
63,1,0,06:46,2
62,0,1,06:41,2
61,1,0,06:37,2
60,0,1,06:17,2
59,1,0,06:08,2
58,0,1,05:20,2
57,1,0,04:56,2
56,0,1,04:42,2
55,1,0,04:03,2
54,0,1,03:51,2
53,1,0,03:48,2
52,0,1,03:35,2
51,1,0,03:19,2
50,0,1,03:01,2
49,1,0,02:46,2
48,0,1,02:37,2
47,1,0,02:25,2
46,0,1,02:04,2
45,1,0,01:36,2
44,0,1,01:15,2
43,1,0,00:50,2
42,0,1,00:35,2
41,1,0,00:12,2
40,0,1,00:05,2
109,1,0,09:27,3
108,1,0,08:57,3
107,0,1,08:42,3
106,1,0,08:30,3
105,0,1,07:58,3
104,1,0,07:33,3
103,0,1,07:17,3
102,1,0,07:02,3
101,1,0,06:55,3
100,0,1,06:34,3
99,1,0,06:29,3
98,0,1,06:17,3
97,1,0,06:01,3
96,1,0,05:57,3
95,0,1,05:44,3
94,1,0,05:31,3
93,0,1,05:20,3
92,1,0,04:59,3
91,1,0,04:52,3
90,0,1,04:45,3
89,1,0,04:23,3
88,0,1,04:05,3
87,1,0,03:52,3
86,1,0,03:07,3
85,0,1,02:44,3
84,1,0,02:12,3
83,0,1,02:04,3
82,1,0,01:52,3
81,1,0,01:39,3
80,0,1,01:31,3
79,1,0,01:11,3
78,1,0,01:04,3
77,1,0,00:38,3
76,1,0,00:37,3
75,1,0,00:08,3
147,1,0,09:30,4
146,0,1,09:18,4
145,1,0,09:00,4
144,0,1,08:51,4
143,1,0,08:22,4
142,0,1,08:16,4
141,1,0,07:56,4
140,1,0,07:36,4
139,0,1,07:28,4
138,1,0,07:20,4
137,0,1,07:06,4
136,1,0,06:37,4
135,0,1,06:12,4
134,1,0,06:02,4
133,0,1,05:51,4
132,1,0,05:38,4
131,1,0,05:27,4
130,1,0,05:04,4
129,0,1,04:50,4
128,1,0,04:35,4
127,1,0,04:18,4
126,1,0,03:49,4
125,1,0,03:42,4
124,1,0,03:22,4
123,0,1,03:01,4
122,1,0,02:27,4
121,0,1,02:05,4
120,1,0,01:31,4
119,0,1,01:17,4
118,1,0,00:54,4
117,0,1,00:39,4
116,0,1,00:31,4
115,0,1,00:27,4
114,1,0,00:26,4
113,1,0,00:14,4
112,0,1,00:08,4
111,1,0,00:07,4
110,0,1,00:01,4
