,off_pos,def_pos,time,period
38,1,0,09:34,1
37,0,1,09:16,1
36,1,0,08:57,1
35,0,1,08:40,1
34,1,0,08:21,1
33,0,1,08:04,1
32,1,0,07:51,1
31,0,1,07:38,1
30,1,0,07:21,1
29,0,1,07:04,1
28,1,0,06:56,1
27,0,1,06:39,1
26,1,0,06:31,1
25,0,1,06:18,1
24,1,0,06:11,1
23,0,1,05:59,1
22,1,0,05:46,1
21,1,0,05:28,1
20,0,1,05:25,1
19,1,0,05:18,1
18,1,0,05:15,1
17,0,1,04:56,1
16,1,0,04:50,1
15,1,0,04:10,1
14,0,1,03:47,1
13,1,0,03:34,1
12,1,0,03:21,1
11,1,0,03:09,1
10,0,1,02:52,1
9,1,0,02:27,1
8,0,1,02:17,1
7,1,0,02:13,1
6,0,1,01:45,1
5,1,0,01:31,1
4,0,1,01:09,1
3,1,0,01:00,1
2,0,1,00:40,1
1,0,1,00:32,1
0,1,0,00:13,1
78,1,0,09:48,2
77,1,0,09:42,2
76,1,0,09:31,2
75,0,1,09:11,2
74,1,0,09:01,2
73,1,0,08:51,2
72,0,1,08:36,2
71,1,0,08:06,2
70,0,1,07:49,2
69,1,0,07:31,2
68,0,1,07:04,2
67,1,0,06:59,2
66,1,0,06:41,2
65,0,1,06:33,2
64,1,0,06:14,2
63,0,1,06:04,2
62,1,0,05:49,2
61,1,0,05:41,2
60,0,1,05:34,2
59,1,0,05:15,2
58,0,1,04:58,2
57,1,0,04:51,2
56,1,0,04:18,2
55,0,1,04:11,2
54,1,0,03:59,2
53,1,0,03:55,2
52,0,1,03:33,2
51,1,0,03:21,2
50,0,1,02:58,2
49,1,0,02:48,2
48,1,0,02:19,2
47,1,0,02:12,2
46,1,0,01:57,2
45,0,1,01:34,2
44,1,0,01:21,2
43,0,1,01:07,2
42,1,0,00:50,2
41,1,0,00:48,2
40,1,0,00:31,2
39,1,0,00:01,2
119,0,1,09:48,3
118,1,0,09:35,3
117,0,1,09:15,3
116,1,0,08:58,3
115,0,1,08:44,3
114,1,0,08:37,3
113,1,0,08:23,3
112,0,1,08:03,3
111,1,0,07:44,3
110,0,1,07:25,3
109,1,0,07:06,3
108,1,0,06:51,3
107,0,1,06:44,3
106,1,0,06:33,3
105,0,1,06:14,3
104,1,0,05:56,3
103,0,1,05:38,3
102,1,0,05:33,3
101,0,1,05:00,3
100,1,0,04:51,3
99,0,1,04:45,3
98,1,0,04:22,3
97,0,1,03:59,3
96,1,0,03:50,3
95,0,1,03:30,3
94,1,0,03:24,3
93,0,1,03:05,3
92,1,0,02:51,3
91,1,0,02:46,3
90,0,1,02:25,3
89,1,0,02:19,3
88,1,0,02:10,3
87,0,1,02:09,3
86,1,0,01:54,3
85,0,1,01:27,3
84,1,0,01:17,3
83,0,1,01:04,3
82,1,0,00:49,3
81,1,0,00:42,3
80,0,1,00:13,3
79,1,0,00:00,3
171,1,0,09:53,4
170,1,0,09:38,4
169,0,1,09:23,4
168,1,0,09:09,4
167,0,1,08:38,4
166,1,0,08:24,4
165,1,0,08:15,4
164,0,1,08:12,4
163,1,0,08:03,4
162,0,1,07:55,4
161,1,0,07:46,4
160,1,0,07:22,4
159,0,1,07:11,4
158,1,0,07:03,4
157,0,1,06:52,4
156,1,0,06:42,4
155,0,1,06:19,4
154,1,0,06:06,4
153,1,0,06:05,4
152,0,1,05:54,4
151,1,0,05:30,4
150,0,1,05:16,4
149,1,0,05:08,4
148,1,0,04:28,4
147,0,1,04:14,4
146,1,0,03:58,4
145,0,1,03:56,4
144,1,0,03:52,4
143,0,1,03:42,4
142,1,0,03:31,4
141,0,1,03:23,4
140,1,0,03:16,4
139,0,1,03:07,4
138,1,0,02:59,4
137,1,0,02:36,4
136,1,0,02:25,4
135,0,1,02:14,4
134,1,0,02:11,4
133,0,1,02:03,4
132,1,0,01:57,4
131,0,1,01:52,4
130,1,0,01:43,4
129,0,1,01:35,4
128,1,0,01:27,4
127,0,1,01:05,4
126,1,0,00:55,4
125,1,0,00:53,4
124,0,1,00:40,4
123,1,0,00:25,4
122,1,0,00:20,4
121,1,0,00:13,4
120,0,1,00:02,4
