,off_pos,def_pos,time,period
44,0,1,09:46,1
43,1,0,09:17,1
42,0,1,08:49,1
41,1,0,08:37,1
40,0,1,08:28,1
39,1,0,08:11,1
38,1,0,08:08,1
37,1,0,07:56,1
36,1,0,07:50,1
35,0,1,07:22,1
34,1,0,07:08,1
33,0,1,06:59,1
32,1,0,06:54,1
31,0,1,06:23,1
30,0,1,06:12,1
29,1,0,06:02,1
28,0,1,05:56,1
27,1,0,05:49,1
26,1,0,05:47,1
25,0,1,05:31,1
24,1,0,05:19,1
23,0,1,05:05,1
22,1,0,04:40,1
21,0,1,04:08,1
20,1,0,03:49,1
19,1,0,03:36,1
18,0,1,03:15,1
17,1,0,03:00,1
16,0,1,02:49,1
15,1,0,02:39,1
14,0,1,02:27,1
13,1,0,02:13,1
12,1,0,02:09,1
11,1,0,01:51,1
10,1,0,01:47,1
9,0,1,01:27,1
8,1,0,01:22,1
7,0,1,01:11,1
6,1,0,00:45,1
5,1,0,00:40,1
4,0,1,00:17,1
3,1,0,00:13,1
2,0,1,00:09,1
1,1,0,00:06,1
0,0,1,00:04,1
90,0,1,09:50,2
89,1,0,09:45,2
88,0,1,09:26,2
87,1,0,09:12,2
86,0,1,09:03,2
85,1,0,08:58,2
84,0,1,08:23,2
83,0,1,08:21,2
82,1,0,08:09,2
81,1,0,07:45,2
80,0,1,07:27,2
79,1,0,07:22,2
78,0,1,06:56,2
77,1,0,06:54,2
76,1,0,06:32,2
75,1,0,06:19,2
74,1,0,06:06,2
73,1,0,06:02,2
72,0,1,05:46,2
71,1,0,05:32,2
70,1,0,05:29,2
69,1,0,05:15,2
68,0,1,04:57,2
67,1,0,04:45,2
66,0,1,04:19,2
65,1,0,04:14,2
64,0,1,04:05,2
63,1,0,03:47,2
62,0,1,03:38,2
61,1,0,03:18,2
60,0,1,02:57,2
59,1,0,02:46,2
58,0,1,02:36,2
57,1,0,02:23,2
56,0,1,02:15,2
55,1,0,02:07,2
54,1,0,02:02,2
53,0,1,01:36,2
52,1,0,01:21,2
51,1,0,01:09,2
50,1,0,00:53,2
49,1,0,00:46,2
48,0,1,00:32,2
47,1,0,00:06,2
46,1,0,00:04,2
45,0,1,00:01,2
132,0,1,09:50,3
131,1,0,09:26,3
130,0,1,08:55,3
129,1,0,08:40,3
128,1,0,08:26,3
127,0,1,08:15,3
126,1,0,08:06,3
125,0,1,07:42,3
124,1,0,07:28,3
123,0,1,07:16,3
122,1,0,06:56,3
121,1,0,06:54,3
120,0,1,06:36,3
119,1,0,06:31,3
118,1,0,06:30,3
117,0,1,06:13,3
116,1,0,06:04,3
115,0,1,05:43,3
114,1,0,05:32,3
113,0,1,05:11,3
112,1,0,04:58,3
111,0,1,04:46,3
110,1,0,04:41,3
109,0,1,04:32,3
108,1,0,04:05,3
107,0,1,03:52,3
106,1,0,03:41,3
105,1,0,03:39,3
104,0,1,03:24,3
103,1,0,03:05,3
102,0,1,02:47,3
101,1,0,02:25,3
100,1,0,02:22,3
99,0,1,02:03,3
98,1,0,01:45,3
97,0,1,01:21,3
96,1,0,01:13,3
95,0,1,01:01,3
94,1,0,00:33,3
93,0,1,00:23,3
92,1,0,00:14,3
91,0,1,00:03,3
179,1,0,09:47,4
178,1,0,09:30,4
177,0,1,09:25,4
176,1,0,09:20,4
175,0,1,09:12,4
174,0,1,09:10,4
173,1,0,08:58,4
172,1,0,08:47,4
171,0,1,08:27,4
170,1,0,08:15,4
169,0,1,08:08,4
168,1,0,08:02,4
167,0,1,07:45,4
166,1,0,07:36,4
165,0,1,07:10,4
164,1,0,06:52,4
163,1,0,06:42,4
162,0,1,06:34,4
161,1,0,06:29,4
160,0,1,06:19,4
159,1,0,06:09,4
158,0,1,05:50,4
157,1,0,05:29,4
156,0,1,05:17,4
155,1,0,05:01,4
154,0,1,04:43,4
153,1,0,04:23,4
152,1,0,04:19,4
151,1,0,04:00,4
150,1,0,03:36,4
149,1,0,03:25,4
148,1,0,03:06,4
147,0,1,02:55,4
146,1,0,02:54,4
145,1,0,02:45,4
144,0,1,02:42,4
143,1,0,02:22,4
142,0,1,02:10,4
141,1,0,02:00,4
140,0,1,01:44,4
139,1,0,01:25,4
138,1,0,01:19,4
137,0,1,01:00,4
136,1,0,00:44,4
135,0,1,00:37,4
134,1,0,00:20,4
133,0,1,00:07,4
