,off_pos,def_pos,time,period
38,0,1,09:55,1
37,1,0,09:42,1
36,0,1,09:17,1
35,1,0,08:50,1
34,0,1,08:31,1
33,1,0,08:09,1
32,0,1,07:59,1
31,1,0,07:49,1
30,0,1,07:42,1
29,1,0,07:34,1
28,1,0,07:30,1
27,1,0,07:08,1
26,0,1,06:37,1
25,1,0,06:30,1
24,0,1,06:03,1
23,1,0,06:01,1
22,1,0,05:58,1
21,0,1,05:40,1
20,1,0,05:36,1
19,1,0,05:09,1
18,0,1,04:44,1
17,1,0,04:35,1
16,1,0,04:09,1
15,0,1,03:44,1
14,1,0,03:36,1
13,0,1,03:13,1
12,1,0,03:01,1
11,0,1,02:31,1
10,1,0,02:16,1
9,1,0,02:05,1
8,0,1,01:45,1
7,1,0,01:23,1
6,1,0,01:21,1
5,0,1,01:03,1
4,1,0,00:53,1
3,0,1,00:46,1
2,1,0,00:26,1
1,0,1,00:14,1
0,1,0,00:01,1
79,1,0,09:52,2
78,0,1,09:17,2
77,1,0,09:13,2
76,0,1,09:10,2
75,1,0,08:46,2
74,1,0,08:44,2
73,0,1,08:33,2
72,1,0,08:23,2
71,1,0,07:59,2
70,1,0,07:47,2
69,0,1,07:33,2
68,1,0,07:21,2
67,1,0,07:17,2
66,0,1,06:49,2
65,1,0,06:40,2
64,1,0,06:34,2
63,0,1,06:15,2
62,1,0,06:08,2
61,0,1,05:36,2
60,0,1,05:34,2
59,1,0,05:08,2
58,0,1,04:55,2
57,1,0,04:40,2
56,0,1,04:27,2
55,1,0,04:23,2
54,0,1,04:09,2
53,1,0,04:02,2
52,1,0,03:55,2
51,0,1,03:24,2
50,1,0,03:14,2
49,1,0,03:10,2
48,1,0,02:51,2
47,1,0,02:36,2
46,0,1,02:06,2
45,1,0,01:58,2
44,0,1,01:49,2
43,1,0,01:23,2
42,0,1,01:07,2
41,1,0,00:53,2
40,1,0,00:25,2
39,1,0,00:01,2
118,1,0,09:49,3
117,0,1,09:30,3
116,1,0,09:13,3
115,1,0,09:12,3
114,1,0,08:59,3
113,1,0,08:45,3
112,0,1,08:30,3
111,1,0,08:23,3
110,0,1,08:00,3
109,1,0,07:46,3
108,1,0,07:23,3
107,1,0,07:20,3
106,0,1,07:10,3
105,1,0,06:50,3
104,0,1,06:29,3
103,1,0,06:18,3
102,0,1,05:58,3
101,1,0,05:53,3
100,0,1,05:28,3
99,1,0,05:11,3
98,0,1,04:46,3
97,1,0,04:25,3
96,0,1,04:15,3
95,1,0,04:03,3
94,0,1,03:45,3
93,1,0,03:24,3
92,0,1,03:15,3
91,1,0,02:41,3
90,0,1,02:11,3
89,1,0,02:02,3
88,0,1,01:42,3
87,1,0,01:34,3
86,0,1,01:32,3
85,1,0,01:19,3
84,1,0,00:57,3
83,1,0,00:38,3
82,1,0,00:33,3
81,0,1,00:09,3
80,1,0,00:01,3
156,0,1,09:42,4
155,1,0,09:20,4
154,0,1,09:02,4
153,1,0,08:58,4
152,0,1,08:30,4
151,1,0,08:21,4
150,0,1,08:10,4
149,1,0,08:05,4
148,0,1,07:37,4
147,1,0,07:32,4
146,0,1,07:04,4
145,1,0,06:45,4
144,0,1,06:27,4
143,1,0,06:13,4
142,0,1,06:08,4
141,1,0,05:46,4
140,0,1,05:34,4
139,1,0,05:24,4
138,1,0,05:14,4
137,0,1,04:48,4
136,1,0,04:37,4
135,0,1,04:16,4
134,1,0,03:42,4
133,0,1,03:32,4
132,1,0,03:08,4
131,1,0,02:56,4
130,1,0,02:38,4
129,0,1,02:14,4
128,1,0,01:53,4
127,0,1,01:42,4
126,0,1,01:25,4
125,1,0,01:23,4
124,1,0,01:20,4
123,1,0,01:17,4
122,1,0,01:06,4
121,1,0,00:52,4
120,1,0,00:31,4
119,0,1,00:04,4
