,off_pos,def_pos,time,period
37,0,1,09:31,1
36,1,0,09:26,1
35,1,0,09:22,1
34,0,1,08:49,1
33,1,0,08:35,1
32,0,1,08:12,1
31,1,0,08:07,1
30,0,1,07:49,1
29,1,0,07:32,1
28,0,1,07:03,1
27,0,1,06:52,1
26,1,0,06:46,1
25,0,1,06:41,1
24,1,0,06:23,1
23,1,0,06:09,1
22,0,1,05:54,1
21,1,0,05:41,1
20,0,1,05:04,1
19,0,1,04:44,1
18,0,1,04:43,1
17,1,0,04:30,1
16,0,1,04:09,1
15,1,0,03:57,1
14,1,0,03:53,1
13,1,0,03:45,1
12,0,1,03:25,1
11,1,0,03:07,1
10,0,1,02:42,1
9,1,0,02:30,1
8,0,1,02:05,1
7,1,0,01:48,1
6,1,0,01:36,1
5,0,1,01:25,1
4,1,0,01:14,1
3,0,1,00:56,1
2,1,0,00:47,1
1,0,1,00:32,1
0,1,0,00:27,1
74,0,1,09:53,2
73,1,0,09:38,2
72,0,1,09:19,2
71,1,0,09:13,2
70,1,0,08:39,2
69,0,1,08:16,2
68,1,0,08:06,2
67,0,1,07:33,2
66,1,0,07:26,2
65,1,0,06:50,2
64,0,1,06:37,2
63,1,0,06:24,2
62,0,1,06:18,2
61,1,0,06:15,2
60,1,0,06:13,2
59,0,1,05:53,2
58,1,0,05:46,2
57,0,1,05:35,2
56,1,0,05:13,2
55,0,1,04:47,2
54,1,0,04:38,2
53,0,1,04:16,2
52,1,0,04:10,2
51,0,1,04:02,2
50,0,1,04:00,2
49,0,1,03:50,2
48,1,0,03:39,2
47,0,1,03:09,2
46,1,0,02:58,2
45,1,0,02:31,2
44,0,1,02:19,2
43,1,0,02:11,2
42,1,0,01:30,2
41,0,1,01:02,2
40,1,0,00:53,2
39,0,1,00:34,2
38,1,0,00:13,2
115,1,0,09:50,3
114,0,1,09:27,3
113,1,0,09:12,3
112,1,0,09:02,3
111,0,1,08:43,3
110,1,0,08:31,3
109,1,0,08:28,3
108,0,1,08:20,3
107,1,0,08:03,3
106,0,1,07:48,3
105,1,0,07:38,3
104,1,0,07:13,3
103,1,0,06:59,3
102,0,1,06:39,3
101,1,0,06:34,3
100,1,0,06:32,3
99,1,0,06:19,3
98,0,1,05:51,3
97,1,0,05:39,3
96,0,1,05:17,3
95,1,0,05:02,3
94,0,1,04:43,3
93,1,0,04:35,3
92,0,1,04:16,3
91,1,0,04:10,3
90,1,0,03:55,3
89,0,1,03:39,3
88,1,0,03:19,3
87,0,1,03:11,3
86,1,0,03:08,3
85,0,1,02:40,3
84,1,0,02:32,3
83,0,1,02:14,3
82,1,0,02:03,3
81,0,1,01:42,3
80,1,0,01:33,3
79,1,0,01:09,3
78,0,1,01:08,3
77,1,0,00:54,3
76,0,1,00:32,3
75,1,0,00:05,3
156,1,0,09:37,4
155,0,1,09:10,4
154,1,0,08:59,4
153,1,0,08:43,4
152,0,1,08:30,4
151,1,0,08:22,4
150,0,1,07:59,4
149,1,0,07:47,4
148,0,1,07:36,4
147,1,0,07:20,4
146,0,1,07:02,4
145,1,0,06:52,4
144,1,0,06:14,4
143,1,0,06:08,4
142,0,1,05:52,4
141,1,0,05:42,4
140,0,1,05:15,4
139,1,0,05:02,4
138,0,1,04:59,4
137,1,0,04:40,4
136,0,1,04:22,4
135,1,0,04:13,4
134,0,1,04:10,4
133,1,0,04:00,4
132,0,1,03:41,4
131,1,0,03:25,4
130,1,0,03:15,4
129,1,0,03:04,4
128,0,1,02:49,4
127,1,0,02:24,4
126,0,1,02:19,4
125,1,0,02:09,4
124,0,1,02:05,4
123,1,0,01:53,4
122,0,1,01:49,4
121,1,0,01:46,4
120,1,0,01:40,4
119,1,0,01:22,4
118,1,0,01:07,4
117,0,1,00:47,4
116,1,0,00:23,4
