,off_pos,def_pos,time,period
38,0,1,09:35,1
37,1,0,09:14,1
36,0,1,08:53,1
35,1,0,08:38,1
34,0,1,08:25,1
33,1,0,08:15,1
32,0,1,07:59,1
31,1,0,07:50,1
30,1,0,07:34,1
29,0,1,07:28,1
28,1,0,07:24,1
27,0,1,07:00,1
26,1,0,06:51,1
25,0,1,06:38,1
24,1,0,06:11,1
23,0,1,05:54,1
22,1,0,05:35,1
21,1,0,05:26,1
20,0,1,05:15,1
19,1,0,04:53,1
18,1,0,04:22,1
17,0,1,04:13,1
16,1,0,04:01,1
15,0,1,03:30,1
14,1,0,03:23,1
13,0,1,03:04,1
12,1,0,03:03,1
11,1,0,02:48,1
10,1,0,02:46,1
9,0,1,02:23,1
8,1,0,02:09,1
7,0,1,01:59,1
6,1,0,01:37,1
5,0,1,01:28,1
4,1,0,01:14,1
3,1,0,01:11,1
2,0,1,00:41,1
1,1,0,00:19,1
0,0,1,00:01,1
72,1,0,09:41,2
71,1,0,09:22,2
70,1,0,09:02,2
69,0,1,08:55,2
68,1,0,08:28,2
67,0,1,08:14,2
66,1,0,07:45,2
65,0,1,07:39,2
64,1,0,07:08,2
63,0,1,06:46,2
62,1,0,06:13,2
61,0,1,06:04,2
60,1,0,05:42,2
59,0,1,05:16,2
58,1,0,04:54,2
57,1,0,04:28,2
56,0,1,04:08,2
55,1,0,03:56,2
54,0,1,03:52,2
53,1,0,03:28,2
52,0,1,03:20,2
51,1,0,03:02,2
50,1,0,02:59,2
49,1,0,02:58,2
48,1,0,02:51,2
47,1,0,02:26,2
46,0,1,02:20,2
45,1,0,02:01,2
44,0,1,01:49,2
43,1,0,01:20,2
42,0,1,00:59,2
41,1,0,00:38,2
40,1,0,00:34,2
39,0,1,00:02,2
113,1,0,09:41,3
112,0,1,09:16,3
111,1,0,08:49,3
110,1,0,08:20,3
109,1,0,08:07,3
108,0,1,07:55,3
107,1,0,07:41,3
106,0,1,07:20,3
105,1,0,07:05,3
104,0,1,06:45,3
103,1,0,06:34,3
102,0,1,06:13,3
101,1,0,06:05,3
100,0,1,05:47,3
99,1,0,05:31,3
98,0,1,05:22,3
97,1,0,05:14,3
96,0,1,04:58,3
95,1,0,04:51,3
94,1,0,04:48,3
93,0,1,04:32,3
92,1,0,04:08,3
91,1,0,03:22,3
90,0,1,03:14,3
89,1,0,03:01,3
88,0,1,02:55,3
87,0,1,02:50,3
86,1,0,02:46,3
85,0,1,02:28,3
84,0,1,02:07,3
83,1,0,02:01,3
82,1,0,01:57,3
81,1,0,01:52,3
80,1,0,01:37,3
79,1,0,01:34,3
78,1,0,01:17,3
77,1,0,01:02,3
76,0,1,00:55,3
75,1,0,00:26,3
74,0,1,00:18,3
73,1,0,00:01,3
154,1,0,09:39,4
153,0,1,09:13,4
152,1,0,08:59,4
151,0,1,08:41,4
150,1,0,08:29,4
149,0,1,08:07,4
148,1,0,07:46,4
147,0,1,07:25,4
146,1,0,07:11,4
145,1,0,07:09,4
144,1,0,07:00,4
143,0,1,06:49,4
142,1,0,06:36,4
141,1,0,06:08,4
140,0,1,05:49,4
139,1,0,05:32,4
138,0,1,05:02,4
137,1,0,04:50,4
136,1,0,04:45,4
135,0,1,04:01,4
134,1,0,03:48,4
133,0,1,03:20,4
132,1,0,03:04,4
131,1,0,03:01,4
130,0,1,02:48,4
129,1,0,02:34,4
128,0,1,02:03,4
127,1,0,01:47,4
126,0,1,01:30,4
125,1,0,01:24,4
124,0,1,01:01,4
123,1,0,00:53,4
122,1,0,00:46,4
121,1,0,00:45,4
120,1,0,00:44,4
119,1,0,00:25,4
118,1,0,00:23,4
117,1,0,00:18,4
116,0,1,00:17,4
115,1,0,00:11,4
114,1,0,00:03,4
