,off_pos,def_pos,time,period
35,0,1,09:40,1
34,1,0,09:33,1
33,0,1,09:22,1
32,1,0,09:03,1
31,0,1,08:16,1
30,1,0,08:11,1
29,0,1,07:43,1
28,1,0,07:31,1
27,0,1,07:15,1
26,1,0,07:00,1
25,1,0,06:26,1
24,0,1,06:17,1
23,1,0,06:06,1
22,0,1,05:51,1
21,1,0,05:36,1
20,0,1,05:24,1
19,1,0,05:16,1
18,1,0,05:14,1
17,0,1,04:59,1
16,1,0,04:46,1
15,1,0,04:18,1
14,0,1,03:55,1
13,1,0,03:46,1
12,1,0,03:32,1
11,0,1,03:14,1
10,1,0,02:51,1
9,1,0,02:35,1
8,1,0,02:12,1
7,1,0,01:49,1
6,1,0,01:36,1
5,0,1,01:17,1
4,1,0,01:06,1
3,1,0,00:27,1
2,1,0,00:17,1
1,1,0,00:16,1
0,0,1,00:04,1
76,0,1,09:48,2
75,1,0,09:33,2
74,0,1,09:24,2
73,1,0,09:12,2
72,0,1,08:55,2
71,1,0,08:26,2
70,0,1,08:04,2
69,1,0,07:58,2
68,0,1,07:38,2
67,1,0,07:20,2
66,1,0,07:03,2
65,1,0,06:52,2
64,0,1,06:25,2
63,1,0,06:02,2
62,0,1,05:42,2
61,1,0,05:36,2
60,0,1,05:01,2
59,1,0,04:50,2
58,0,1,04:21,2
57,1,0,04:03,2
56,0,1,03:43,2
55,1,0,03:32,2
54,0,1,03:19,2
53,1,0,03:14,2
52,1,0,03:13,2
51,0,1,03:01,2
50,1,0,02:53,2
49,1,0,02:51,2
48,0,1,02:39,2
47,1,0,02:21,2
46,1,0,02:18,2
45,1,0,02:05,2
44,1,0,01:52,2
43,0,1,01:33,2
42,1,0,01:18,2
41,0,1,00:58,2
40,1,0,00:52,2
39,0,1,00:40,2
38,1,0,00:32,2
37,0,1,00:23,2
36,1,0,00:01,2
116,1,0,09:51,3
115,0,1,09:47,3
114,1,0,09:29,3
113,1,0,09:26,3
112,0,1,09:14,3
111,1,0,08:55,3
110,0,1,08:39,3
109,1,0,08:08,3
108,0,1,08:01,3
107,1,0,07:39,3
106,1,0,07:19,3
105,0,1,07:10,3
104,1,0,06:53,3
103,1,0,06:30,3
102,0,1,06:14,3
101,1,0,06:10,3
100,0,1,05:47,3
99,1,0,05:30,3
98,1,0,05:02,3
97,0,1,04:58,3
96,1,0,04:31,3
95,0,1,04:10,3
94,1,0,03:58,3
93,1,0,03:56,3
92,0,1,03:39,3
91,1,0,03:32,3
90,0,1,03:08,3
89,1,0,02:53,3
88,1,0,02:37,3
87,0,1,02:32,3
86,1,0,02:17,3
85,0,1,02:00,3
84,1,0,01:44,3
83,1,0,01:31,3
82,1,0,01:21,3
81,1,0,00:56,3
80,0,1,00:48,3
79,1,0,00:33,3
78,0,1,00:22,3
77,1,0,00:02,3
153,1,0,09:42,4
152,0,1,09:23,4
151,1,0,09:02,4
150,0,1,08:44,4
149,1,0,08:39,4
148,1,0,08:36,4
147,0,1,08:24,4
146,1,0,08:01,4
145,1,0,08:00,4
144,0,1,07:40,4
143,1,0,07:28,4
142,0,1,07:05,4
141,1,0,06:31,4
140,0,1,06:02,4
139,1,0,05:47,4
138,0,1,05:30,4
137,1,0,05:16,4
136,0,1,05:05,4
135,1,0,04:53,4
134,0,1,04:39,4
133,1,0,04:22,4
132,1,0,04:20,4
131,0,1,03:50,4
130,1,0,03:49,4
129,0,1,03:27,4
128,1,0,03:12,4
127,0,1,03:02,4
126,1,0,02:43,4
125,0,1,02:28,4
124,1,0,02:15,4
123,0,1,01:49,4
122,1,0,01:23,4
121,0,1,01:10,4
120,1,0,01:03,4
119,0,1,00:53,4
118,1,0,00:37,4
117,0,1,00:25,4
