,off_pos,def_pos,time,period
45,0,1,09:35,1
44,1,0,09:28,1
43,0,1,09:06,1
42,1,0,09:01,1
41,0,1,08:38,1
40,1,0,08:35,1
39,0,1,08:02,1
38,1,0,07:57,1
37,1,0,07:54,1
36,0,1,07:38,1
35,1,0,07:30,1
34,0,1,07:05,1
33,0,1,06:47,1
32,1,0,06:46,1
31,0,1,06:29,1
30,1,0,06:10,1
29,0,1,06:00,1
28,1,0,05:55,1
27,0,1,05:35,1
26,1,0,05:17,1
25,0,1,05:08,1
24,1,0,05:05,1
23,1,0,05:02,1
22,0,1,04:54,1
21,1,0,04:44,1
20,0,1,04:17,1
19,1,0,03:54,1
18,0,1,03:37,1
17,1,0,03:28,1
16,0,1,03:17,1
15,1,0,03:08,1
14,0,1,03:00,1
13,1,0,02:55,1
12,1,0,02:53,1
11,0,1,02:26,1
10,1,0,02:17,1
9,0,1,02:00,1
8,1,0,01:41,1
7,1,0,01:38,1
6,0,1,01:20,1
5,1,0,01:13,1
4,0,1,01:03,1
3,1,0,00:56,1
2,0,1,00:41,1
1,1,0,00:32,1
0,1,0,00:10,1
83,1,0,09:49,2
82,1,0,09:44,2
81,1,0,09:29,2
80,0,1,09:12,2
79,1,0,08:41,2
78,0,1,08:18,2
77,1,0,08:13,2
76,1,0,08:11,2
75,0,1,08:04,2
74,1,0,07:48,2
73,1,0,07:45,2
72,0,1,07:31,2
71,1,0,07:05,2
70,0,1,06:46,2
69,1,0,06:20,2
68,0,1,05:52,2
67,1,0,05:36,2
66,0,1,05:21,2
65,1,0,04:56,2
64,1,0,04:54,2
63,0,1,04:49,2
62,1,0,04:44,2
61,0,1,04:26,2
60,1,0,04:20,2
59,1,0,04:18,2
58,0,1,04:04,2
57,1,0,03:43,2
56,0,1,03:11,2
55,1,0,02:51,2
54,0,1,02:40,2
53,1,0,02:18,2
52,0,1,01:55,2
51,1,0,01:36,2
50,1,0,01:14,2
49,0,1,00:57,2
48,1,0,00:41,2
47,0,1,00:29,2
46,1,0,00:03,2
127,1,0,09:48,3
126,0,1,09:11,3
125,0,1,09:10,3
124,1,0,09:04,3
123,0,1,08:54,3
122,1,0,08:39,3
121,0,1,08:33,3
120,1,0,08:13,3
119,0,1,07:44,3
118,1,0,07:24,3
117,0,1,07:00,3
116,1,0,06:43,3
115,1,0,06:35,3
114,0,1,06:08,3
113,1,0,06:02,3
112,1,0,05:33,3
111,1,0,05:27,3
110,0,1,05:21,3
109,1,0,05:07,3
108,0,1,04:52,3
107,1,0,04:43,3
106,1,0,04:25,3
105,0,1,04:07,3
104,1,0,03:51,3
103,1,0,03:47,3
102,0,1,03:38,3
101,1,0,03:30,3
100,0,1,03:19,3
99,1,0,03:17,3
98,1,0,03:15,3
97,1,0,03:06,3
96,0,1,02:47,3
95,1,0,02:39,3
94,1,0,02:23,3
93,0,1,02:15,3
92,1,0,01:54,3
91,0,1,01:35,3
90,1,0,01:24,3
89,0,1,01:00,3
88,1,0,00:44,3
87,0,1,00:28,3
86,1,0,00:22,3
85,0,1,00:08,3
84,1,0,00:05,3
165,0,1,09:36,4
164,1,0,09:24,4
163,0,1,09:11,4
162,1,0,08:59,4
161,1,0,08:58,4
160,0,1,08:41,4
159,1,0,08:24,4
158,0,1,08:01,4
157,1,0,07:44,4
156,0,1,07:27,4
155,1,0,07:14,4
154,0,1,07:09,4
153,1,0,07:01,4
152,0,1,06:46,4
151,1,0,06:32,4
150,0,1,06:23,4
149,1,0,06:14,4
148,0,1,05:57,4
147,1,0,05:30,4
146,0,1,05:04,4
145,1,0,04:40,4
144,0,1,04:18,4
143,1,0,04:03,4
142,0,1,03:50,4
141,1,0,03:29,4
140,0,1,03:22,4
139,1,0,02:58,4
138,0,1,02:41,4
137,1,0,02:28,4
136,0,1,02:19,4
135,1,0,02:02,4
134,0,1,01:45,4
133,1,0,01:32,4
132,0,1,01:06,4
131,1,0,00:57,4
130,0,1,00:34,4
129,1,0,00:05,4
128,1,0,00:02,4
