,off_pos,def_pos,time,period
38,1,0,09:43,1
37,0,1,09:29,1
36,1,0,09:22,1
35,0,1,09:08,1
34,1,0,09:03,1
33,0,1,08:27,1
32,1,0,08:10,1
31,0,1,07:53,1
30,1,0,07:45,1
29,0,1,07:08,1
28,1,0,06:52,1
27,0,1,06:02,1
26,0,1,05:52,1
25,1,0,05:47,1
24,1,0,05:46,1
23,0,1,05:32,1
22,1,0,05:11,1
21,0,1,04:46,1
20,1,0,04:20,1
19,0,1,04:12,1
18,1,0,03:49,1
17,0,1,03:34,1
16,1,0,03:15,1
15,0,1,02:59,1
14,1,0,02:50,1
13,0,1,02:44,1
12,1,0,02:36,1
11,0,1,02:04,1
10,1,0,01:59,1
9,1,0,01:58,1
8,0,1,01:36,1
7,1,0,01:29,1
6,1,0,01:27,1
5,0,1,01:05,1
4,1,0,00:48,1
3,0,1,00:39,1
2,1,0,00:18,1
1,1,0,00:07,1
0,0,1,00:03,1
81,1,0,09:41,2
80,1,0,09:21,2
79,0,1,08:57,2
78,1,0,08:42,2
77,0,1,08:27,2
76,1,0,08:17,2
75,0,1,08:05,2
74,1,0,07:58,2
73,1,0,07:52,2
72,1,0,07:38,2
71,0,1,07:14,2
70,1,0,07:01,2
69,0,1,06:45,2
68,1,0,06:39,2
67,1,0,06:36,2
66,0,1,06:26,2
65,1,0,05:51,2
64,1,0,05:37,2
63,1,0,05:22,2
62,1,0,05:15,2
61,0,1,05:08,2
60,1,0,04:56,2
59,0,1,04:37,2
58,1,0,04:19,2
57,1,0,04:09,2
56,0,1,03:36,2
55,1,0,03:25,2
54,0,1,03:20,2
53,1,0,03:10,2
52,0,1,02:58,2
51,1,0,02:30,2
50,0,1,02:25,2
49,1,0,02:08,2
48,1,0,02:05,2
47,1,0,02:03,2
46,0,1,01:49,2
45,1,0,01:23,2
44,0,1,01:05,2
43,1,0,00:51,2
42,0,1,00:42,2
41,1,0,00:39,2
40,1,0,00:35,2
39,1,0,00:07,2
120,0,1,09:44,3
119,1,0,09:31,3
118,0,1,09:03,3
117,1,0,08:42,3
116,0,1,08:29,3
115,1,0,08:19,3
114,0,1,07:57,3
113,1,0,07:47,3
112,0,1,07:28,3
111,0,1,07:17,3
110,1,0,07:10,3
109,0,1,06:57,3
108,1,0,06:52,3
107,0,1,06:42,3
106,1,0,06:27,3
105,0,1,06:07,3
104,1,0,05:56,3
103,1,0,05:37,3
102,1,0,05:22,3
101,0,1,05:05,3
100,1,0,04:47,3
99,1,0,04:32,3
98,0,1,04:25,3
97,1,0,04:08,3
96,0,1,03:34,3
95,1,0,03:26,3
94,0,1,03:16,3
93,1,0,02:57,3
92,0,1,02:41,3
91,1,0,02:18,3
90,0,1,02:03,3
89,1,0,01:43,3
88,1,0,01:31,3
87,0,1,01:19,3
86,1,0,01:03,3
85,0,1,00:55,3
84,1,0,00:47,3
83,0,1,00:35,3
82,1,0,00:04,3
162,0,1,09:40,4
161,1,0,09:25,4
160,1,0,09:19,4
159,0,1,08:44,4
158,1,0,08:33,4
157,0,1,08:18,4
156,1,0,08:11,4
155,0,1,07:56,4
154,1,0,07:43,4
153,0,1,07:25,4
152,1,0,07:12,4
151,0,1,06:51,4
150,1,0,06:45,4
149,1,0,06:24,4
148,1,0,06:03,4
147,0,1,05:39,4
146,1,0,05:17,4
145,0,1,04:53,4
144,1,0,04:47,4
143,1,0,04:39,4
142,0,1,04:31,4
141,0,1,04:18,4
140,1,0,04:16,4
139,1,0,04:08,4
138,1,0,04:00,4
137,0,1,03:41,4
136,1,0,03:22,4
135,0,1,03:07,4
134,1,0,02:48,4
133,1,0,02:47,4
132,0,1,02:37,4
131,1,0,02:20,4
130,1,0,02:10,4
129,1,0,02:03,4
128,1,0,01:45,4
127,0,1,01:35,4
126,1,0,01:21,4
125,0,1,01:05,4
124,1,0,00:55,4
123,0,1,00:43,4
122,1,0,00:17,4
121,0,1,00:03,4
