,off_pos,def_pos,time,period
38,0,1,09:47,1
37,1,0,09:39,1
36,0,1,09:23,1
35,1,0,09:14,1
34,0,1,08:56,1
33,1,0,08:39,1
32,1,0,08:31,1
31,0,1,08:10,1
30,1,0,07:56,1
29,0,1,07:33,1
28,1,0,07:26,1
27,0,1,07:19,1
26,1,0,07:04,1
25,1,0,06:49,1
24,1,0,06:44,1
23,0,1,06:21,1
22,1,0,06:05,1
21,0,1,05:44,1
20,1,0,05:23,1
19,0,1,04:46,1
18,1,0,04:35,1
17,1,0,04:13,1
16,0,1,03:53,1
15,1,0,03:45,1
14,0,1,03:23,1
13,1,0,03:16,1
12,0,1,02:52,1
11,1,0,02:32,1
10,0,1,02:21,1
9,1,0,02:01,1
8,0,1,01:45,1
7,1,0,01:31,1
6,1,0,01:16,1
5,0,1,01:11,1
4,1,0,01:08,1
3,0,1,00:56,1
2,1,0,00:41,1
1,0,1,00:36,1
0,1,0,00:09,1
76,1,0,09:42,2
75,0,1,09:28,2
74,1,0,09:00,2
73,0,1,08:44,2
72,1,0,08:20,2
71,1,0,07:59,2
70,1,0,07:56,2
69,1,0,07:45,2
68,1,0,07:38,2
67,0,1,07:25,2
66,1,0,07:11,2
65,0,1,06:52,2
64,1,0,06:38,2
63,0,1,06:18,2
62,1,0,05:57,2
61,0,1,05:47,2
60,1,0,05:32,2
59,0,1,05:18,2
58,1,0,05:01,2
57,0,1,04:42,2
56,1,0,04:29,2
55,0,1,04:06,2
54,1,0,03:56,2
53,0,1,03:38,2
52,1,0,03:22,2
51,0,1,03:04,2
50,1,0,02:31,2
49,0,1,02:25,2
48,1,0,02:22,2
47,1,0,02:09,2
46,0,1,01:51,2
45,1,0,01:33,2
44,1,0,01:21,2
43,0,1,01:01,2
42,1,0,00:52,2
41,0,1,00:45,2
40,1,0,00:15,2
39,1,0,00:03,2
111,1,0,09:36,3
110,0,1,09:12,3
109,1,0,09:00,3
108,0,1,08:28,3
107,1,0,08:22,3
106,1,0,08:07,3
105,0,1,07:48,3
104,1,0,07:33,3
103,1,0,07:17,3
102,1,0,07:02,3
101,0,1,06:41,3
100,1,0,06:16,3
99,0,1,05:52,3
98,1,0,05:31,3
97,1,0,05:28,3
96,1,0,05:12,3
95,1,0,04:58,3
94,0,1,04:29,3
93,0,1,04:12,3
92,1,0,03:53,3
91,0,1,03:33,3
90,1,0,03:23,3
89,0,1,02:53,3
88,1,0,02:38,3
87,0,1,02:23,3
86,1,0,02:19,3
85,0,1,01:43,3
84,0,1,01:30,3
83,1,0,01:29,3
82,1,0,00:51,3
81,1,0,00:43,3
80,1,0,00:41,3
79,0,1,00:26,3
78,1,0,00:01,3
77,1,0,00:00,3
147,0,1,09:38,4
146,1,0,09:22,4
145,0,1,09:11,4
144,1,0,09:00,4
143,0,1,08:34,4
142,1,0,08:20,4
141,0,1,08:05,4
140,1,0,07:50,4
139,1,0,07:41,4
138,0,1,07:21,4
137,1,0,07:07,4
136,0,1,06:47,4
135,1,0,06:13,4
134,1,0,05:43,4
133,1,0,05:26,4
132,0,1,05:11,4
131,1,0,05:03,4
130,0,1,04:48,4
129,1,0,04:41,4
128,1,0,04:27,4
127,1,0,04:17,4
126,1,0,03:50,4
125,0,1,03:40,4
124,1,0,03:18,4
123,1,0,03:11,4
122,0,1,02:17,4
121,1,0,02:01,4
120,0,1,01:26,4
119,0,1,01:09,4
118,1,0,00:54,4
117,0,1,00:37,4
116,1,0,00:15,4
115,1,0,00:13,4
114,1,0,00:12,4
113,1,0,00:10,4
112,0,1,00:03,4
164,1,0,04:46,5
163,0,1,04:22,5
162,1,0,03:58,5
161,1,0,03:40,5
160,0,1,03:25,5
159,1,0,03:21,5
158,0,1,03:07,5
157,1,0,02:39,5
156,1,0,02:38,5
155,0,1,02:24,5
154,1,0,01:59,5
153,0,1,01:39,5
152,1,0,01:10,5
151,0,1,00:56,5
150,1,0,00:23,5
149,1,0,00:07,5
148,1,0,00:05,5
180,1,0,04:47,6
179,0,1,04:03,6
178,1,0,03:37,6
177,0,1,03:19,6
176,1,0,03:17,6
175,0,1,03:02,6
174,1,0,02:43,6
173,0,1,02:16,6
172,1,0,01:57,6
171,0,1,01:30,6
170,1,0,01:07,6
169,1,0,00:56,6
168,0,1,00:40,6
167,1,0,00:17,6
166,1,0,00:05,6
165,1,0,00:02,6
